latitud,longitud,geometry
-34.5,-61.5,POINT (-61.5 -34.5)
-34.5,-60.0,POINT (-60 -34.5)
-34.5,-59.5,POINT (-59.5 -34.5)
-34.0,-69.5,POINT (-69.5 -34)
-34.0,-69.0,POINT (-69 -34)
-34.0,-68.5,POINT (-68.5 -34)
-34.0,-68.0,POINT (-68 -34)
-34.0,-67.5,POINT (-67.5 -34)
-34.0,-67.0,POINT (-67 -34)
-34.0,-66.5,POINT (-66.5 -34)
-34.0,-66.0,POINT (-66 -34)
-34.0,-64.5,POINT (-64.5 -34)
-34.0,-64.0,POINT (-64 -34)
-34.0,-62.5,POINT (-62.5 -34)
-34.0,-61.5,POINT (-61.5 -34)
-34.0,-61.0,POINT (-61 -34)
-34.0,-60.5,POINT (-60.5 -34)
-34.0,-60.0,POINT (-60 -34)
-34.0,-59.5,POINT (-59.5 -34)
-34.0,-59.0,POINT (-59 -34)
-33.5,-69.5,POINT (-69.5 -33.5)
-33.5,-69.0,POINT (-69 -33.5)
-33.5,-68.0,POINT (-68 -33.5)
-33.5,-67.5,POINT (-67.5 -33.5)
-33.5,-67.0,POINT (-67 -33.5)
-33.5,-63.5,POINT (-63.5 -33.5)
-33.5,-63.0,POINT (-63 -33.5)
-33.5,-62.5,POINT (-62.5 -33.5)
-33.5,-61.0,POINT (-61 -33.5)
-33.5,-60.5,POINT (-60.5 -33.5)
-33.5,-60.0,POINT (-60 -33.5)
-33.5,-59.5,POINT (-59.5 -33.5)
-33.5,-59.0,POINT (-59 -33.5)
-33.5,-58.5,POINT (-58.5 -33.5)
-33.0,-70.0,POINT (-70 -33)
-33.0,-69.5,POINT (-69.5 -33)
-33.0,-67.5,POINT (-67.5 -33)
-33.0,-67.0,POINT (-67 -33)
-33.0,-65.5,POINT (-65.5 -33)
-33.0,-65.0,POINT (-65 -33)
-33.0,-63.5,POINT (-63.5 -33)
-33.0,-63.0,POINT (-63 -33)
-33.0,-61.5,POINT (-61.5 -33)
-33.0,-60.0,POINT (-60 -33)
-33.0,-59.5,POINT (-59.5 -33)
-32.5,-70.0,POINT (-70 -32.5)
-32.5,-69.5,POINT (-69.5 -32.5)
-32.5,-68.0,POINT (-68 -32.5)
-32.5,-67.5,POINT (-67.5 -32.5)
-32.5,-67.0,POINT (-67 -32.5)
-32.5,-66.5,POINT (-66.5 -32.5)
-32.5,-66.0,POINT (-66 -32.5)
-32.5,-65.5,POINT (-65.5 -32.5)
-32.5,-65.0,POINT (-65 -32.5)
-32.5,-64.5,POINT (-64.5 -32.5)
-32.5,-64.0,POINT (-64 -32.5)
-32.5,-63.5,POINT (-63.5 -32.5)
-32.5,-63.0,POINT (-63 -32.5)
-32.5,-60.0,POINT (-60 -32.5)
-32.5,-59.5,POINT (-59.5 -32.5)
-32.5,-59.0,POINT (-59 -32.5)
-32.5,-58.5,POINT (-58.5 -32.5)
-32.0,-70.0,POINT (-70 -32)
-32.0,-69.5,POINT (-69.5 -32)
-32.0,-69.0,POINT (-69 -32)
-32.0,-68.0,POINT (-68 -32)
-32.0,-67.5,POINT (-67.5 -32)
-32.0,-67.0,POINT (-67 -32)
-32.0,-66.5,POINT (-66.5 -32)
-32.0,-66.0,POINT (-66 -32)
-32.0,-64.5,POINT (-64.5 -32)
-32.0,-63.0,POINT (-63 -32)
-32.0,-62.5,POINT (-62.5 -32)
-32.0,-60.0,POINT (-60 -32)
-32.0,-59.5,POINT (-59.5 -32)
-32.0,-59.0,POINT (-59 -32)
-32.0,-58.5,POINT (-58.5 -32)
-31.5,-70.5,POINT (-70.5 -31.5)
-31.5,-70.0,POINT (-70 -31.5)
-31.5,-69.5,POINT (-69.5 -31.5)
-31.5,-69.0,POINT (-69 -31.5)
-31.5,-67.5,POINT (-67.5 -31.5)
-31.5,-67.0,POINT (-67 -31.5)
-31.5,-66.5,POINT (-66.5 -31.5)
-31.5,-66.0,POINT (-66 -31.5)
-31.5,-65.5,POINT (-65.5 -31.5)
-31.5,-63.0,POINT (-63 -31.5)
-31.5,-62.5,POINT (-62.5 -31.5)
-31.5,-62.0,POINT (-62 -31.5)
-31.5,-61.5,POINT (-61.5 -31.5)
-31.5,-60.0,POINT (-60 -31.5)
-31.5,-59.5,POINT (-59.5 -31.5)
-31.5,-59.0,POINT (-59 -31.5)
-31.5,-58.5,POINT (-58.5 -31.5)
-31.0,-70.0,POINT (-70 -31)
-31.0,-69.5,POINT (-69.5 -31)
-31.0,-69.0,POINT (-69 -31)
-31.0,-68.5,POINT (-68.5 -31)
-31.0,-68.0,POINT (-68 -31)
-31.0,-67.5,POINT (-67.5 -31)
-31.0,-67.0,POINT (-67 -31)
-31.0,-66.5,POINT (-66.5 -31)
-31.0,-66.0,POINT (-66 -31)
-31.0,-65.5,POINT (-65.5 -31)
-31.0,-65.0,POINT (-65 -31)
-31.0,-63.5,POINT (-63.5 -31)
-31.0,-63.0,POINT (-63 -31)
-31.0,-62.5,POINT (-62.5 -31)
-31.0,-62.0,POINT (-62 -31)
-31.0,-61.5,POINT (-61.5 -31)
-31.0,-61.0,POINT (-61 -31)
-31.0,-60.5,POINT (-60.5 -31)
-31.0,-60.0,POINT (-60 -31)
-31.0,-59.5,POINT (-59.5 -31)
-31.0,-59.0,POINT (-59 -31)
-31.0,-58.5,POINT (-58.5 -31)
-30.5,-70.0,POINT (-70 -30.5)
-30.5,-69.5,POINT (-69.5 -30.5)
-30.5,-68.0,POINT (-68 -30.5)
-30.5,-67.5,POINT (-67.5 -30.5)
-30.5,-67.0,POINT (-67 -30.5)
-30.5,-65.5,POINT (-65.5 -30.5)
-30.5,-65.0,POINT (-65 -30.5)
-30.5,-64.5,POINT (-64.5 -30.5)
-30.5,-64.0,POINT (-64 -30.5)
-30.5,-63.5,POINT (-63.5 -30.5)
-30.5,-63.0,POINT (-63 -30.5)
-30.5,-62.5,POINT (-62.5 -30.5)
-30.5,-62.0,POINT (-62 -30.5)
-30.5,-61.5,POINT (-61.5 -30.5)
-30.5,-61.0,POINT (-61 -30.5)
-30.5,-60.5,POINT (-60.5 -30.5)
-30.5,-60.0,POINT (-60 -30.5)
-30.5,-59.5,POINT (-59.5 -30.5)
-30.5,-59.0,POINT (-59 -30.5)
-30.5,-58.5,POINT (-58.5 -30.5)
-30.0,-69.5,POINT (-69.5 -30)
-30.0,-68.0,POINT (-68 -30)
-30.0,-67.5,POINT (-67.5 -30)
-30.0,-67.0,POINT (-67 -30)
-30.0,-65.5,POINT (-65.5 -30)
-30.0,-65.0,POINT (-65 -30)
-30.0,-64.5,POINT (-64.5 -30)
-30.0,-63.0,POINT (-63 -30)
-30.0,-62.5,POINT (-62.5 -30)
-30.0,-61.0,POINT (-61 -30)
-30.0,-60.5,POINT (-60.5 -30)
-30.0,-60.0,POINT (-60 -30)
-30.0,-59.5,POINT (-59.5 -30)
-30.0,-59.0,POINT (-59 -30)
-30.0,-58.5,POINT (-58.5 -30)
-29.5,-69.5,POINT (-69.5 -29.5)
-29.5,-69.0,POINT (-69 -29.5)
-29.5,-68.5,POINT (-68.5 -29.5)
-29.5,-68.0,POINT (-68 -29.5)
-29.5,-66.0,POINT (-66 -29.5)
-29.5,-65.5,POINT (-65.5 -29.5)
-29.5,-65.0,POINT (-65 -29.5)
-29.5,-64.5,POINT (-64.5 -29.5)
-29.5,-63.0,POINT (-63 -29.5)
-29.5,-62.5,POINT (-62.5 -29.5)
-29.5,-61.5,POINT (-61.5 -29.5)
-29.5,-61.0,POINT (-61 -29.5)
-29.5,-60.5,POINT (-60.5 -29.5)
-29.5,-59.0,POINT (-59 -29.5)
-29.5,-58.5,POINT (-58.5 -29.5)
-29.5,-58.0,POINT (-58 -29.5)
-29.0,-69.5,POINT (-69.5 -29)
-29.0,-69.0,POINT (-69 -29)
-29.0,-68.5,POINT (-68.5 -29)
-29.0,-68.0,POINT (-68 -29)
-29.0,-65.0,POINT (-65 -29)
-29.0,-64.5,POINT (-64.5 -29)
-29.0,-64.0,POINT (-64 -29)
-29.0,-63.5,POINT (-63.5 -29)
-29.0,-63.0,POINT (-63 -29)
-29.0,-62.5,POINT (-62.5 -29)
-29.0,-62.0,POINT (-62 -29)
-29.0,-61.5,POINT (-61.5 -29)
-29.0,-61.0,POINT (-61 -29)
-29.0,-60.5,POINT (-60.5 -29)
-29.0,-59.0,POINT (-59 -29)
-29.0,-58.5,POINT (-58.5 -29)
-29.0,-58.0,POINT (-58 -29)
-29.0,-57.5,POINT (-57.5 -29)
-29.0,-57.0,POINT (-57 -29)
-29.0,-56.5,POINT (-56.5 -29)
-28.5,-69.5,POINT (-69.5 -28.5)
-28.5,-69.0,POINT (-69 -28.5)
-28.5,-68.5,POINT (-68.5 -28.5)
-28.5,-68.0,POINT (-68 -28.5)
-28.5,-67.0,POINT (-67 -28.5)
-28.5,-66.5,POINT (-66.5 -28.5)
-28.5,-65.0,POINT (-65 -28.5)
-28.5,-64.5,POINT (-64.5 -28.5)
-28.5,-64.0,POINT (-64 -28.5)
-28.5,-63.5,POINT (-63.5 -28.5)
-28.5,-63.0,POINT (-63 -28.5)
-28.5,-62.5,POINT (-62.5 -28.5)
-28.5,-62.0,POINT (-62 -28.5)
-28.5,-61.5,POINT (-61.5 -28.5)
-28.5,-61.0,POINT (-61 -28.5)
-28.5,-60.5,POINT (-60.5 -28.5)
-28.5,-60.0,POINT (-60 -28.5)
-28.5,-59.5,POINT (-59.5 -28.5)
-28.5,-59.0,POINT (-59 -28.5)
-28.5,-58.5,POINT (-58.5 -28.5)
-28.5,-58.0,POINT (-58 -28.5)
-28.5,-57.5,POINT (-57.5 -28.5)
-28.5,-57.0,POINT (-57 -28.5)
-28.5,-56.5,POINT (-56.5 -28.5)
-28.5,-56.0,POINT (-56 -28.5)
-28.0,-69.0,POINT (-69 -28)
-28.0,-68.5,POINT (-68.5 -28)
-28.0,-67.0,POINT (-67 -28)
-28.0,-66.5,POINT (-66.5 -28)
-28.0,-66.0,POINT (-66 -28)
-28.0,-65.5,POINT (-65.5 -28)
-28.0,-65.0,POINT (-65 -28)
-28.0,-63.5,POINT (-63.5 -28)
-28.0,-63.0,POINT (-63 -28)
-28.0,-62.5,POINT (-62.5 -28)
-28.0,-62.0,POINT (-62 -28)
-28.0,-61.5,POINT (-61.5 -28)
-28.0,-61.0,POINT (-61 -28)
-28.0,-60.5,POINT (-60.5 -28)
-28.0,-60.0,POINT (-60 -28)
-28.0,-59.5,POINT (-59.5 -28)
-28.0,-59.0,POINT (-59 -28)
-28.0,-58.5,POINT (-58.5 -28)
-28.0,-58.0,POINT (-58 -28)
-28.0,-57.5,POINT (-57.5 -28)
-28.0,-57.0,POINT (-57 -28)
-28.0,-56.5,POINT (-56.5 -28)
-28.0,-56.0,POINT (-56 -28)
-28.0,-55.5,POINT (-55.5 -28)
-27.5,-68.5,POINT (-68.5 -27.5)
-27.5,-68.0,POINT (-68 -27.5)
-27.5,-67.5,POINT (-67.5 -27.5)
-27.5,-67.0,POINT (-67 -27.5)
-27.5,-66.5,POINT (-66.5 -27.5)
-27.5,-66.0,POINT (-66 -27.5)
-27.5,-65.5,POINT (-65.5 -27.5)
-27.5,-65.0,POINT (-65 -27.5)
-27.5,-63.5,POINT (-63.5 -27.5)
-27.5,-63.0,POINT (-63 -27.5)
-27.5,-62.5,POINT (-62.5 -27.5)
-27.5,-62.0,POINT (-62 -27.5)
-27.5,-61.5,POINT (-61.5 -27.5)
-27.5,-61.0,POINT (-61 -27.5)
-27.5,-60.5,POINT (-60.5 -27.5)
-27.5,-60.0,POINT (-60 -27.5)
-27.5,-58.0,POINT (-58 -27.5)
-27.5,-57.5,POINT (-57.5 -27.5)
-27.5,-57.0,POINT (-57 -27.5)
-27.0,-68.0,POINT (-68 -27)
-27.0,-67.5,POINT (-67.5 -27)
-27.0,-67.0,POINT (-67 -27)
-27.0,-66.5,POINT (-66.5 -27)
-27.0,-66.0,POINT (-66 -27)
-27.0,-64.5,POINT (-64.5 -27)
-27.0,-64.0,POINT (-64 -27)
-27.0,-63.5,POINT (-63.5 -27)
-27.0,-63.0,POINT (-63 -27)
-27.0,-62.5,POINT (-62.5 -27)
-27.0,-62.0,POINT (-62 -27)
-27.0,-61.5,POINT (-61.5 -27)
-27.0,-61.0,POINT (-61 -27)
-27.0,-60.0,POINT (-60 -27)
-27.0,-59.5,POINT (-59.5 -27)
-27.0,-54.5,POINT (-54.5 -27)
-27.0,-54.0,POINT (-54 -27)
-26.5,-68.5,POINT (-68.5 -26.5)
-26.5,-68.0,POINT (-68 -26.5)
-26.5,-67.5,POINT (-67.5 -26.5)
-26.5,-67.0,POINT (-67 -26.5)
-26.5,-66.5,POINT (-66.5 -26.5)
-26.5,-66.0,POINT (-66 -26.5)
-26.5,-65.5,POINT (-65.5 -26.5)
-26.5,-64.5,POINT (-64.5 -26.5)
-26.5,-64.0,POINT (-64 -26.5)
-26.5,-63.5,POINT (-63.5 -26.5)
-26.5,-63.0,POINT (-63 -26.5)
-26.5,-62.5,POINT (-62.5 -26.5)
-26.5,-62.0,POINT (-62 -26.5)
-26.5,-61.5,POINT (-61.5 -26.5)
-26.5,-61.0,POINT (-61 -26.5)
-26.5,-60.0,POINT (-60 -26.5)
-26.5,-59.5,POINT (-59.5 -26.5)
-26.5,-59.0,POINT (-59 -26.5)
-26.5,-54.5,POINT (-54.5 -26.5)
-26.0,-68.0,POINT (-68 -26)
-26.0,-67.5,POINT (-67.5 -26)
-26.0,-67.0,POINT (-67 -26)
-26.0,-66.5,POINT (-66.5 -26)
-26.0,-66.0,POINT (-66 -26)
-26.0,-65.5,POINT (-65.5 -26)
-26.0,-65.0,POINT (-65 -26)
-26.0,-64.5,POINT (-64.5 -26)
-26.0,-64.0,POINT (-64 -26)
-26.0,-63.5,POINT (-63.5 -26)
-26.0,-63.0,POINT (-63 -26)
-26.0,-62.5,POINT (-62.5 -26)
-26.0,-62.0,POINT (-62 -26)
-26.0,-61.5,POINT (-61.5 -26)
-26.0,-61.0,POINT (-61 -26)
-26.0,-60.5,POINT (-60.5 -26)
-26.0,-60.0,POINT (-60 -26)
-26.0,-59.5,POINT (-59.5 -26)
-26.0,-59.0,POINT (-59 -26)
-25.5,-68.5,POINT (-68.5 -25.5)
-25.5,-68.0,POINT (-68 -25.5)
-25.5,-67.5,POINT (-67.5 -25.5)
-25.5,-67.0,POINT (-67 -25.5)
-25.5,-66.5,POINT (-66.5 -25.5)
-25.5,-66.0,POINT (-66 -25.5)
-25.5,-65.5,POINT (-65.5 -25.5)
-25.5,-65.0,POINT (-65 -25.5)
-25.5,-64.5,POINT (-64.5 -25.5)
-25.5,-64.0,POINT (-64 -25.5)
-25.5,-63.5,POINT (-63.5 -25.5)
-25.5,-63.0,POINT (-63 -25.5)
-25.5,-62.5,POINT (-62.5 -25.5)
-25.5,-62.0,POINT (-62 -25.5)
-25.5,-61.5,POINT (-61.5 -25.5)
-25.5,-61.0,POINT (-61 -25.5)
-25.5,-60.5,POINT (-60.5 -25.5)
-25.5,-60.0,POINT (-60 -25.5)
-25.5,-59.5,POINT (-59.5 -25.5)
-25.5,-59.0,POINT (-59 -25.5)
-25.5,-58.5,POINT (-58.5 -25.5)
-25.5,-58.0,POINT (-58 -25.5)
-25.0,-68.0,POINT (-68 -25)
-25.0,-67.5,POINT (-67.5 -25)
-25.0,-67.0,POINT (-67 -25)
-25.0,-66.5,POINT (-66.5 -25)
-25.0,-66.0,POINT (-66 -25)
-25.0,-64.5,POINT (-64.5 -25)
-25.0,-64.0,POINT (-64 -25)
-25.0,-63.5,POINT (-63.5 -25)
-25.0,-63.0,POINT (-63 -25)
-25.0,-62.5,POINT (-62.5 -25)
-25.0,-62.0,POINT (-62 -25)
-25.0,-61.5,POINT (-61.5 -25)
-25.0,-61.0,POINT (-61 -25)
-25.0,-60.0,POINT (-60 -25)
-25.0,-59.5,POINT (-59.5 -25)
-25.0,-59.0,POINT (-59 -25)
-25.0,-58.5,POINT (-58.5 -25)
-24.5,-68.0,POINT (-68 -24.5)
-24.5,-67.5,POINT (-67.5 -24.5)
-24.5,-67.0,POINT (-67 -24.5)
-24.5,-66.5,POINT (-66.5 -24.5)
-24.5,-66.0,POINT (-66 -24.5)
-24.5,-64.5,POINT (-64.5 -24.5)
-24.5,-64.0,POINT (-64 -24.5)
-24.5,-63.5,POINT (-63.5 -24.5)
-24.5,-63.0,POINT (-63 -24.5)
-24.5,-62.5,POINT (-62.5 -24.5)
-24.5,-62.0,POINT (-62 -24.5)
-24.5,-61.5,POINT (-61.5 -24.5)
-24.5,-60.0,POINT (-60 -24.5)
-24.5,-59.5,POINT (-59.5 -24.5)
-24.0,-67.0,POINT (-67 -24)
-24.0,-66.5,POINT (-66.5 -24)
-24.0,-66.0,POINT (-66 -24)
-24.0,-64.5,POINT (-64.5 -24)
-24.0,-64.0,POINT (-64 -24)
-24.0,-63.5,POINT (-63.5 -24)
-24.0,-63.0,POINT (-63 -24)
-24.0,-62.5,POINT (-62.5 -24)
-24.0,-62.0,POINT (-62 -24)
-24.0,-61.5,POINT (-61.5 -24)
-24.0,-61.0,POINT (-61 -24)
-24.0,-60.5,POINT (-60.5 -24)
-23.5,-67.0,POINT (-67 -23.5)
-23.5,-66.5,POINT (-66.5 -23.5)
-23.5,-66.0,POINT (-66 -23.5)
-23.5,-65.5,POINT (-65.5 -23.5)
-23.5,-65.0,POINT (-65 -23.5)
-23.5,-63.5,POINT (-63.5 -23.5)
-23.5,-63.0,POINT (-63 -23.5)
-23.5,-62.5,POINT (-62.5 -23.5)
-23.5,-62.0,POINT (-62 -23.5)
-23.5,-61.5,POINT (-61.5 -23.5)
-23.0,-66.5,POINT (-66.5 -23)
-23.0,-66.0,POINT (-66 -23)
-23.0,-65.5,POINT (-65.5 -23)
-23.0,-65.0,POINT (-65 -23)
-23.0,-63.0,POINT (-63 -23)
-23.0,-62.5,POINT (-62.5 -23)
-23.0,-62.0,POINT (-62 -23)
-22.5,-66.5,POINT (-66.5 -22.5)
-22.5,-66.0,POINT (-66 -22.5)
-22.5,-65.0,POINT (-65 -22.5)
-22.5,-64.5,POINT (-64.5 -22.5)
-22.5,-63.0,POINT (-63 -22.5)
-22.5,-62.5,POINT (-62.5 -22.5)
-22.0,-63.5,POINT (-63.5 -22)
-22.0,-63.0,POINT (-63 -22)
