latitud,longitud,altura,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total
-24.0,-61.5,152.0,8.9,0.5035,10.4,6.8583,1.5,3.4531,82.3,24.5512,0.1434,66.8826,55.9312,42.3314,8.0195,671.1738,1.8587,0.1108,5.2859,4.4428,3.4272,0.4923,53.3138,119.2247,0.6573,129.1984,70.029,9.9737,46.0274,840.3484,11.3929,0.1706,30.1799,25.238,18.787,4.3068,302.8562,10.4848,0.1245,36.7184,32.3525,26.2336,4.0292,388.2303,11.842,0.2314,24.038,18.875,12.196,4.3668,226.4995
-24.0,-61.0,143.0,8.9,0.5035,10.4,6.8583,1.5,3.4531,82.3,24.5512,0.1434,66.8826,55.9312,42.3314,8.0195,671.1738,1.5705,0.0903,5.0999,4.4032,3.5294,0.3977,52.8386,119.2247,0.6573,129.1984,70.029,9.9737,46.0274,840.3484,11.3929,0.1706,30.1799,25.238,18.787,4.3068,302.8562,10.4848,0.1245,36.7184,32.3525,26.2336,4.0292,388.2303,11.842,0.2314,24.038,18.875,12.196,4.3668,226.4995
-24.0,-60.5,129.0,9.15,0.4912,10.85,7.025,1.7,3.4504,84.3,22.9271,0.1269,70.1556,59.1478,47.2285,7.5062,709.773,1.5705,0.0903,5.0999,4.4032,3.5294,0.3977,52.8386,120.2387,0.6502,130.6463,71.3671,10.4076,46.3997,856.4057,11.4507,0.1742,29.8228,24.8243,18.3721,4.3233,297.8912,11.1639,0.1323,37.2694,32.4702,26.1055,4.2944,389.6424,11.4417,0.2292,23.4506,18.4415,12.0089,4.2264,221.2979
-23.5,-67.0,4175.0,16.15,0.9673,16.45,6.5875,0.3,6.372,79.05,34.0954,0.3566,55.164,33.918,21.0686,12.0952,407.0156,2.0921,0.3407,3.4939,2.0329,1.4018,0.6927,24.3945,108.6914,1.073,110.4365,40.4392,1.7451,43.3929,485.2707,8.7849,0.886,7.9755,3.7004,-0.8094,3.2786,44.4048,10.4129,0.2831,18.293,13.5582,7.8801,3.8382,162.6979,5.6888,-0.5004,-0.507,-3.9181,-6.1958,1.9607,-47.0177
-75.0,-72.0,867.0,5.2,0.2262,9.55,7.2417,4.35,1.6382,86.9,5.5544,0.0184,93.657,91.6883,88.1026,1.6899,1100.2597,2.4523,0.1411,7.2288,5.9161,4.7765,0.8349,59.1614,12.7121,0.185,26.8054,22.1795,14.0933,4.1039,266.1535,15.312,-0.2571,-12.8553,-21.633,-28.1673,5.5628,-259.5964,14.5775,-0.2825,-10.3781,-18.8557,-24.9556,5.3269,-226.2681,15.6642,-0.2234,-15.945,-24.7993,-31.6092,5.5413,-297.591
-23.5,-66.5,3875.0,18.1,0.9127,18.5,8.0458,0.4,7.3437,96.55,35.053,0.3483,58.2765,37.237,23.2235,12.9689,446.8438,2.0921,0.3407,3.4939,2.0329,1.4018,0.6927,24.3945,137.1648,1.04,139.2702,51.4859,2.1054,53.543,617.8305,9.4921,0.5195,11.414,6.9084,1.9219,3.5892,82.9013,9.2216,0.1868,21.8873,17.7169,12.6657,3.3094,212.6025,7.3575,-1.5181,2.5596,-1.8661,-4.7979,2.8328,-22.3928
-23.5,-66.0,3435.0,18.1,0.9127,18.5,8.0458,0.4,7.3437,96.55,35.053,0.3483,58.2765,37.237,23.2235,12.9689,446.8438,2.3293,0.2866,4.1452,2.7209,1.8159,0.7797,32.6509,137.1648,1.04,139.2702,51.4859,2.1054,53.543,617.8305,9.4921,0.5195,11.414,6.9084,1.9219,3.5892,82.9013,9.2216,0.1868,21.8873,17.7169,12.6657,3.3094,212.6025,7.3575,-1.5181,2.5596,-1.8661,-4.7979,2.8328,-22.3928
-23.5,-65.5,4102.0,17.6,0.858,18.2,8.3708,0.6,7.1823,100.45,36.0426,0.2631,71.1928,51.7195,35.1502,13.6065,620.6334,2.3293,0.2866,4.1452,2.7209,1.8159,0.7797,32.6509,157.3865,1.0026,159.9955,60.0675,2.609,60.2223,720.8099,8.805,0.4676,11.1657,7.1743,2.3607,3.3546,86.0917,7.4431,0.1515,20.6126,17.2205,13.1695,2.6094,206.6455,7.9718,-5.1792,3.7036,-0.6117,-4.2682,3.1679,-7.3399
-23.5,-65.0,2137.0,16.35,0.7864,17.3,8.5042,0.95,6.6879,102.05,39.2368,0.2336,81.1205,62.3523,41.8837,14.5684,748.2274,2.6375,0.176,5.7313,4.789,3.0938,0.843,57.4678,176.6508,0.9743,179.6957,68.3901,3.0449,66.6346,820.6811,7.7532,0.2275,16.3776,13.0549,8.6244,2.9702,156.6588,5.7567,0.1058,22.8246,19.9986,17.0679,2.1161,239.9835,9.1813,0.4795,11.6294,7.3463,2.4481,3.5228,88.1553
-23.5,-63.0,226.0,13.35,0.7008,14.15,7.6917,0.8,5.3904,92.3,32.0702,0.2026,69.9306,57.0655,37.8604,11.5617,684.7859,1.9396,0.127,5.3139,4.6271,3.3743,0.5874,55.5256,199.712,0.9542,203.5331,70.7574,3.8211,67.5154,849.089,10.9089,0.1707,29.2777,24.8295,18.3688,4.2392,297.9534,10.7108,0.1233,37.1281,32.3955,26.4173,3.9946,388.7456,11.411,0.2381,22.7282,18.1838,11.3172,4.3294,218.2056
-23.5,-62.5,209.0,12.9,0.6421,14.05,7.825,1.15,5.0244,93.9,28.1297,0.185,66.059,54.8993,37.9293,10.159,658.7916,1.9396,0.127,5.3139,4.6271,3.3743,0.5874,55.5256,177.8264,0.8941,181.9088,64.6626,4.0824,57.8132,775.9514,10.4084,0.1602,29.6965,25.3714,19.2881,4.0637,304.4567,9.9257,0.1147,37.0204,32.7201,27.0947,3.7522,392.6415,11.0898,0.2233,23.3433,18.7688,12.2535,4.1911,225.2251
-23.5,-62.0,193.0,11.95,0.6092,13.3,7.8125,1.35,4.7593,93.75,25.2296,0.165,64.4023,54.5921,39.1727,9.0068,655.105,1.8587,0.1108,5.2859,4.4428,3.4272,0.4923,53.3138,156.2935,0.818,161.7248,63.1103,5.4313,51.6215,757.3231,10.4684,0.1579,29.9659,25.541,19.4975,4.0335,306.492,9.6689,0.1138,36.7884,32.7921,27.1195,3.7326,393.5046,11.0603,0.2173,23.7175,19.0537,12.6572,4.1407,228.6445
-23.5,-61.5,177.0,10.1,0.5341,11.4,7.2042,1.3,3.8474,86.45,24.3178,0.1461,65.514,55.0485,41.1962,8.041,660.5821,1.8587,0.1108,5.2859,4.4428,3.4272,0.4923,53.3138,119.5486,0.689,127.4153,63.4743,7.8667,43.7347,761.691,10.9303,0.1628,30.267,25.5836,19.3367,4.1641,307.0031,10.0912,0.1186,36.8882,32.7272,26.797,3.8811,392.7265,11.4228,0.2211,24.1113,19.2106,12.6885,4.2484,230.5268
-23.0,-66.5,4217.0,17.7,0.963,18.0,7.5417,0.3,7.2624,90.5,37.8594,0.3727,59.4232,37.1385,21.5638,13.8423,445.6624,2.7781,0.447,4.0469,2.206,1.2688,0.986,26.4715,113.0026,1.0459,115.0659,43.0664,2.0633,45.0418,516.7972,8.8403,0.5859,9.7367,5.6736,0.8964,3.3243,68.0834,8.951,0.1985,19.8776,15.9168,10.9266,3.1594,191.0015,6.842,-1.1126,1.5742,-2.3917,-5.2678,2.6611,-28.7008
-23.0,-66.0,4357.0,17.7,0.963,18.0,7.5417,0.3,7.2624,90.5,37.8594,0.3727,59.4232,37.1385,21.5638,13.8423,445.6624,2.7447,0.3919,4.0234,2.4134,1.2787,0.9459,28.9605,113.0026,1.0459,115.0659,43.0664,2.0633,45.0418,516.7972,8.8403,0.5859,9.7367,5.6736,0.8964,3.3243,68.0834,8.951,0.1985,19.8776,15.9168,10.9266,3.1594,191.0015,6.842,-1.1126,1.5742,-2.3917,-5.2678,2.6611,-28.7008
-23.0,-65.5,2617.0,17.65,0.8701,18.2,8.375,0.55,7.2873,100.5,34.995,0.2683,68.417,49.7075,33.422,13.3348,596.4899,2.7447,0.3919,4.0234,2.4134,1.2787,0.9459,28.9605,139.9598,1.0016,142.5884,54.3738,2.6286,54.4612,652.4856,8.6822,0.4263,11.5316,7.6787,2.8494,3.2737,92.1441,7.4763,0.1451,21.1713,17.7822,13.695,2.5794,213.3864,7.7354,-395.072,3.8872,-0.0079,-3.8482,3.1277,-0.095
-23.0,-65.0,793.0,16.5,0.781,17.35,8.7167,0.85,6.8078,104.6,38.2494,0.2382,79.3776,61.0245,41.1282,14.534,732.2944,2.6551,0.1824,5.7502,4.9083,3.0951,0.8951,58.8999,168.8631,0.9668,172.3341,65.9778,3.471,63.7902,791.7341,7.2796,0.2347,14.9568,11.8371,7.6772,2.7786,142.045,4.5835,0.0858,21.8708,19.5197,17.2873,1.6742,234.2367,8.8336,0.5881,9.9191,5.8812,1.0855,3.4588,70.5744
-23.0,-63.0,215.0,13.0,0.6928,13.8,7.4208,0.8,5.1412,89.05,32.6708,0.2073,69.8964,56.5221,37.2256,11.7144,678.2646,2.0981,0.1364,5.466,4.681,3.3679,0.6386,56.1718,193.6525,0.9456,197.5952,70.6756,3.9427,66.834,848.1072,10.4821,0.161,29.5449,25.2177,19.0628,4.0611,302.6124,10.3306,0.1149,37.2816,32.5636,26.951,3.7417,390.7634,11.1534,0.2276,23.0546,18.6263,11.9012,4.2385,223.5157
-23.0,-62.5,199.0,13.25,0.6595,13.95,7.5958,0.7,5.0092,91.15,29.1332,0.1911,66.629,54.9134,37.4958,10.496,658.9607,2.0981,0.1364,5.466,4.681,3.3679,0.6386,56.1718,174.9879,0.8983,178.5545,64.5581,3.5666,57.9919,774.6977,9.9396,0.1534,29.6769,25.5928,19.7373,3.9271,307.1141,9.7726,0.1104,37.1845,32.8744,27.4119,3.6288,394.4927,10.6526,0.213,23.3851,19.0535,12.7325,4.0575,228.6421
-23.0,-62.0,188.0,11.9,0.6211,12.95,7.5125,1.05,4.6661,90.15,24.7204,0.1674,63.1464,53.649,38.426,8.9803,643.788,1.8439,0.1151,5.3877,4.6594,3.5438,0.5361,55.9125,146.5807,0.8175,151.0858,60.2663,4.5051,49.2676,723.1953,10.017,0.1507,30.0655,25.888,20.0485,3.9006,310.656,9.4762,0.1088,37.0035,33.0099,27.5273,3.5923,396.1192,10.6636,0.2071,23.8992,19.4633,13.2356,4.0308,233.5591
-22.5,-66.5,4119.0,16.1,1.0325,16.2,6.3667,0.1,6.5738,76.4,39.0097,0.3807,60.7522,38.6994,21.7425,14.7331,464.3928,2.7781,0.447,4.0469,2.206,1.2688,0.986,26.4715,98.7447,1.0782,99.9268,35.9059,1.1821,38.7135,430.8707,9.0418,0.4934,10.8789,6.8559,1.8371,3.3825,82.2708,8.4149,0.1675,20.8344,17.0358,12.4195,2.8536,204.4294,7.863,-2.5223,2.9212,-1.2658,-4.9418,3.1928,-15.1899
-22.5,-66.0,3672.0,16.1,1.0325,16.2,6.3667,0.1,6.5738,76.4,39.0097,0.3807,60.7522,38.6994,21.7425,14.7331,464.3928,2.7447,0.3919,4.0234,2.4134,1.2787,0.9459,28.9605,98.7447,1.0782,99.9268,35.9059,1.1821,38.7135,430.8707,9.0418,0.4934,10.8789,6.8559,1.8371,3.3825,82.2708,8.4149,0.1675,20.8344,17.0358,12.4195,2.8536,204.4294,7.863,-2.5223,2.9212,-1.2658,-4.9418,3.1928,-15.1899
-22.5,-65.0,2632.0,17.45,0.8036,18.2,8.6833,0.75,6.9778,104.2,43.1251,0.2758,80.1811,59.8944,37.056,16.5168,718.7327,2.6551,0.1824,5.7502,4.9083,3.0951,0.8951,58.8999,148.9654,0.9691,152.2265,59.5807,3.2611,57.7398,714.9687,6.3617,0.1967,14.9228,12.1839,8.5611,2.396,146.2074,4.0216,0.0706,22.3132,20.051,18.2916,1.4161,240.6123,7.8813,0.4955,9.7662,6.3287,1.8849,3.1362,75.9442
-22.5,-64.5,922.0,15.65,0.7129,16.6,8.5583,0.95,6.101,102.7,40.725,0.2497,76.3958,58.0782,35.6708,14.5017,696.9379,2.6551,0.1824,5.7502,4.9083,3.0951,0.8951,58.8999,185.1641,0.947,188.9406,73.649,3.7765,69.7438,883.7881,8.5101,0.1465,25.7128,22.1047,17.2027,3.2388,265.2567,8.2919,0.1034,32.7435,28.6858,24.4516,2.967,344.2294,9.3945,0.2163,20.2104,16.3034,10.8159,3.5271,195.6407
-22.5,-63.0,272.0,13.35,0.6503,14.05,7.8917,0.7,5.1323,94.7,32.8801,0.2067,70.2836,56.8216,37.4035,11.7422,681.8586,2.0981,0.1364,5.466,4.681,3.3679,0.6386,56.1718,184.3264,0.9185,188.0259,70.1979,3.6995,64.4801,842.3749,10.0216,0.1539,29.3403,25.1751,19.3187,3.8744,302.1015,9.8933,0.1101,36.9616,32.4348,27.0683,3.5708,389.2176,10.6843,0.2164,22.9355,18.706,12.2512,4.0483,224.4722
-22.5,-62.5,244.0,12.85,0.6337,13.55,7.7792,0.7,4.9295,93.35,29.7359,0.1934,67.27,55.3075,37.5341,10.6991,663.6897,2.0981,0.1364,5.466,4.681,3.3679,0.6386,56.1718,169.8388,0.8854,173.1137,65.2379,3.2749,57.7607,782.8545,9.5581,0.1467,29.6454,25.7074,20.0873,3.7702,308.4893,9.5181,0.1065,37.0932,32.8718,27.5751,3.5013,394.4614,10.2079,0.2021,23.3914,19.2847,13.1835,3.8972,231.417
-22.0,-63.5,250.0,14.95,0.6799,15.75,8.4083,0.8,5.7171,100.9,35.533,0.2152,74.9376,59.5068,39.4046,12.805,714.0818,2.4516,0.162,5.5569,4.8315,3.1053,0.7827,57.9779,178.038,0.9235,181.0834,71.1128,3.0454,65.6744,853.3533,8.6791,0.1489,26.0846,22.4785,17.4055,3.3482,269.7419,8.1103,0.1001,33.3276,29.5395,25.2173,2.9563,354.4737,9.3481,0.215,20.2379,16.4686,10.8898,3.541,197.6234
-22.0,-63.0,228.0,13.55,0.6363,14.3,8.0958,0.75,5.1516,97.15,32.6864,0.2038,70.6708,57.3114,37.9844,11.6826,687.7371,2.0537,0.126,5.6324,4.9009,3.5787,0.6177,58.8112,178.2141,0.9093,181.0511,69.6817,2.837,63.3616,836.1806,9.5412,0.1473,29.0188,25.029,19.4776,3.688,300.3477,9.4261,0.106,36.4097,32.1025,26.9836,3.402,385.2296,10.1133,0.2041,22.7949,18.7765,12.6816,3.8316,225.3179
-75.0,-70.5,1036.0,4.15,0.2004,8.85,6.825,4.7,1.3676,81.9,4.6451,0.0158,92.4666,90.7786,87.8215,1.433,1089.3428,2.4523,0.1411,7.2288,5.9161,4.7765,0.8349,59.1614,11.1475,0.1678,25.1349,20.5017,13.9874,3.44,246.02,14.835,-0.249,-13.0203,-21.352,-27.8553,5.3167,-256.2239,14.1055,-0.2765,-10.4515,-18.5834,-24.557,5.1391,-223.0014,14.9438,-0.2133,-16.2467,-24.5346,-31.1905,5.2336,-294.4147
-75.0,-70.0,1138.0,4.05,0.198,8.75,6.8542,4.7,1.3574,82.25,4.4303,0.0152,92.5239,90.9271,88.0936,1.383,1091.1253,2.4523,0.1411,7.2288,5.9161,4.7765,0.8349,59.1614,11.2309,0.1693,25.2747,20.4711,14.0438,3.4658,245.6537,14.6113,-0.2438,-13.2843,-21.4975,-27.8956,5.2401,-257.9701,13.9999,-0.2708,-10.7228,-18.7706,-24.7227,5.0831,-225.2468,14.6052,-0.2082,-16.5139,-24.6297,-31.1191,5.128,-295.5564
-75.0,-69.5,834.0,3.65,0.1913,8.2,6.5458,4.55,1.2524,78.55,4.1403,0.0141,92.7195,91.226,88.5792,1.2865,1094.7116,2.4523,0.1411,7.2288,5.9161,4.7765,0.8349,59.1614,10.8778,0.1681,24.9334,19.8407,14.0556,3.3348,238.0885,14.3122,-0.2366,-13.6555,-21.7031,-27.9677,5.134,-260.4366,13.7376,-0.2617,-11.1008,-18.973,-24.8384,4.9654,-227.6756,14.2625,-0.202,-16.921,-24.8495,-31.1835,5.0189,-298.1942
-75.0,-69.0,577.0,3.4,0.1843,7.8,6.2458,4.4,1.151,74.95,3.9121,0.0125,93.2373,91.691,89.3252,1.1426,1100.292,2.4523,0.1411,7.2288,5.9161,4.7765,0.8349,59.1614,9.8442,0.1639,24.343,18.9387,14.4988,3.1043,227.2642,13.9486,-0.2278,-14.1237,-21.971,-28.0723,5.0042,-263.6515,13.3372,-0.2497,-11.5817,-19.2013,-24.9189,4.7938,-230.4159,13.9289,-0.195,-17.4507,-25.1871,-31.3796,4.9113,-302.2455
-75.0,-68.5,473.0,3.4,0.1843,7.8,6.2458,4.4,1.151,74.95,3.9121,0.0125,93.2373,91.691,89.3252,1.1426,1100.292,2.4523,0.1411,7.2288,5.9161,4.7765,0.8349,59.1614,9.8442,0.1639,24.343,18.9387,14.4988,3.1043,227.2642,13.9486,-0.2278,-14.1237,-21.971,-28.0723,5.0042,-263.6515,13.3372,-0.2497,-11.5817,-19.2013,-24.9189,4.7938,-230.4159,13.9289,-0.195,-17.4507,-25.1871,-31.3796,4.9113,-302.2455
-75.0,-68.0,544.0,3.3,0.1459,8.1,6.6083,4.8,0.9641,79.3,3.3366,0.0099,93.6314,92.0801,90.2948,0.9138,1104.9607,2.3463,0.1316,7.1018,5.8568,4.7555,0.7705,58.568,7.5213,0.123,24.5848,19.9179,17.0635,2.4505,239.0149,13.7272,-0.2233,-14.349,-22.1422,-28.0762,4.9437,-265.7064,13.255,-0.2438,-11.8955,-19.5026,-25.1505,4.7553,-234.0311,13.6754,-0.1919,-17.5763,-25.2224,-31.2517,4.8393,-302.6686
-75.0,-67.5,520.0,3.05,0.1582,7.7,6.4458,4.65,1.0197,77.35,2.306,0.0072,93.0286,91.5696,90.7226,0.6586,1098.8358,2.3463,0.1316,7.1018,5.8568,4.7555,0.7705,58.568,8.2722,0.1337,24.1606,20.0331,15.8884,2.6786,240.3978,13.7765,-0.2252,-14.2076,-22.1173,-27.9841,4.9802,-265.4078,13.4402,-0.2468,-11.8258,-19.6013,-25.266,4.8374,-235.2151,13.7818,-0.1966,-17.1536,-24.9854,-30.9354,4.9114,-299.8242
-75.0,-67.0,475.0,3.95,0.204,7.95,6.0083,4.0,1.2255,72.1,2.6555,0.0076,91.7513,90.4196,89.0958,0.6893,1085.035,2.3463,0.1316,7.1018,5.8568,4.7555,0.7705,58.568,15.1402,0.2073,29.5748,20.1349,14.4346,4.1742,241.6183,13.943,-0.2298,-13.8983,-21.9656,-27.8413,5.0481,-263.5877,13.6016,-0.2517,-11.5713,-19.4954,-25.1729,4.9071,-233.9444,13.886,-0.2011,-16.7761,-24.7771,-30.6621,4.9826,-297.3247
-75.0,-66.5,155.0,4.95,0.2682,8.35,5.5625,3.4,1.4921,66.75,3.5763,0.0125,90.1893,88.6389,86.613,1.1094,1063.6666,2.3463,0.1316,7.1018,5.8568,4.7555,0.7705,58.568,22.115,0.3027,35.1811,20.2262,13.0661,6.1218,242.7149,14.183,-0.2374,-13.4156,-21.6853,-27.5986,5.1479,-260.2239,13.7103,-0.2587,-11.1259,-19.1696,-24.8362,4.9598,-230.0347,14.1418,-0.2086,-16.2673,-24.5398,-30.4091,5.1189,-294.4772
-75.0,-66.0,65.0,4.95,0.2682,8.35,5.5625,3.4,1.4921,66.75,3.5763,0.0125,90.1893,88.6389,86.613,1.1094,1063.6666,2.3463,0.1316,7.1018,5.8568,4.7555,0.7705,58.568,22.115,0.3027,35.1811,20.2262,13.0661,6.1218,242.7149,14.183,-0.2374,-13.4156,-21.6853,-27.5986,5.1479,-260.2239,13.7103,-0.2587,-11.1259,-19.1696,-24.8362,4.9598,-230.0347,14.1418,-0.2086,-16.2673,-24.5398,-30.4091,5.1189,-294.4772
-75.0,-65.5,65.0,5.4,0.2804,8.65,5.5792,3.25,1.5642,66.95,5.4813,0.0193,89.1961,86.3647,83.7148,1.6711,1036.3768,2.3463,0.1316,7.1018,5.8568,4.7555,0.7705,58.568,28.7309,0.3795,41.3631,21.2587,12.6322,8.0671,255.1045,14.6563,-0.2513,-12.6338,-21.2434,-27.2901,5.3374,-254.9205,13.9867,-0.2724,-10.3805,-18.6438,-24.3672,5.0777,-223.7258,14.7609,-0.2218,-15.4633,-24.1721,-30.2242,5.3622,-290.0655
-75.0,-65.0,63.0,5.3,0.2526,9.15,6.275,3.85,1.5852,75.3,7.0319,0.0261,87.9963,84.073,80.9644,2.1925,1008.8763,2.3463,0.1316,7.1018,5.8568,4.7555,0.7705,58.568,34.0279,0.3887,48.3811,24.5909,14.3532,9.558,295.0906,15.5588,-0.2745,-11.5132,-20.7122,-27.072,5.6846,-248.546,14.758,-0.2972,-9.3386,-18.1107,-24.0966,5.3822,-217.3288,15.7432,-0.2433,-14.2673,-23.627,-30.0105,5.7488,-283.5236
-75.0,-64.5,59.0,4.75,0.1945,9.75,7.375,5.0,1.4341,88.5,5.2501,0.0184,88.0417,84.9934,82.7916,1.5641,1019.9208,2.3463,0.1316,7.1018,5.8568,4.7555,0.7705,58.568,32.7619,0.3294,49.9967,27.728,17.2348,9.1344,332.7355,17.3378,-0.3061,-10.4967,-20.8466,-27.8345,6.3805,-250.1592,16.4929,-0.331,-8.4136,-18.3341,-24.9065,6.0695,-220.009,17.5379,-0.2725,-13.1444,-23.6467,-30.6823,6.444,-283.7599
-74.5,-73.5,1488.0,6.8,0.1515,16.45,13.6083,9.65,2.0613,163.3,4.0854,0.0121,93.4214,91.644,89.336,1.1086,1099.7276,1.9707,0.1153,7.2101,6.0915,5.2394,0.7023,60.9153,47.52,0.2362,78.3074,57.4395,30.7874,13.568,689.2737,14.7816,-0.2597,-11.9087,-19.9561,-26.6903,5.1828,-239.4736,13.6855,-0.2806,-9.6037,-17.3388,-23.2892,4.8656,-208.0652,15.2197,-0.2274,-14.8975,-22.9558,-30.1172,5.2203,-275.4698
-74.5,-73.0,1571.0,6.6,0.144,16.45,13.7,9.85,1.9735,164.4,4.6854,0.0144,94.0356,92.1411,89.3502,1.3259,1105.6933,1.9707,0.1153,7.2101,6.0915,5.2394,0.7023,60.9153,49.0107,0.2328,81.3686,59.3944,32.3579,13.8242,712.7327,14.8261,-0.2592,-12.034,-20.1568,-26.8601,5.2238,-241.8816,13.9386,-0.2821,-9.7469,-17.6498,-23.6855,4.9793,-211.7975,15.0742,-0.2258,-14.9692,-23.0299,-30.0434,5.2003,-276.3588
-74.5,-72.5,1805.0,6.3,0.1353,16.2,13.6375,9.9,1.8445,163.65,4.9153,0.0154,94.4187,92.4956,89.5034,1.4232,1109.9471,1.9707,0.1153,7.2101,6.0915,5.2394,0.7023,60.9153,48.2789,0.2281,81.1153,59.1733,32.8364,13.4985,710.0792,14.8019,-0.2562,-12.2609,-20.3851,-27.0628,5.2235,-244.6207,14.0417,-0.2802,-9.9555,-17.9015,-23.9972,5.0154,-214.8182,14.9544,-0.2226,-15.2019,-23.2357,-30.1563,5.1733,-278.8278
-74.5,-72.0,1784.0,6.45,0.1386,16.25,13.4375,9.8,1.8628,161.25,4.8604,0.0155,94.6115,92.7561,89.7511,1.4337,1113.0728,2.4523,0.1411,7.2288,5.9161,4.7765,0.8349,59.1614,45.2833,0.2216,77.4906,56.7317,32.2073,12.5726,680.7799,14.7058,-0.251,-12.5925,-20.6413,-27.2983,5.1807,-247.6951,13.9689,-0.2746,-10.2349,-18.0928,-24.2038,4.9674,-217.1136,14.8405,-0.2179,-15.607,-23.5685,-30.4475,5.1355,-282.8225
-74.5,-71.5,1743.0,6.35,0.1491,15.45,12.7042,9.1,1.8938,152.45,5.1326,0.0166,94.7343,92.8391,89.6017,1.5395,1114.0688,2.4523,0.1411,7.2288,5.9161,4.7765,0.8349,59.1614,37.7201,0.2142,65.7111,48.4182,27.991,10.3698,581.0187,14.6038,-0.2464,-12.8846,-20.89,-27.4884,5.1483,-250.6806,13.9367,-0.2708,-10.4891,-18.3391,-24.4258,4.9664,-220.0696,14.6366,-0.213,-15.9385,-23.816,-30.5751,5.0724,-285.7918
-74.5,-71.0,1728.0,6.35,0.1491,15.45,12.7042,9.1,1.8938,152.45,5.1326,0.0166,94.7343,92.8391,89.6017,1.5395,1114.0688,2.4523,0.1411,7.2288,5.9161,4.7765,0.8349,59.1614,37.7201,0.2142,65.7111,48.4182,27.991,10.3698,581.0187,14.6038,-0.2464,-12.8846,-20.89,-27.4884,5.1483,-250.6806,13.9367,-0.2708,-10.4891,-18.3391,-24.4258,4.9664,-220.0696,14.6366,-0.213,-15.9385,-23.816,-30.5751,5.0724,-285.7918
-74.5,-70.5,1776.0,6.2,0.1611,14.5,11.7667,8.3,1.8952,141.2,5.245,0.0171,94.9204,93.0164,89.6754,1.5863,1116.1971,2.4523,0.1411,7.2288,5.9161,4.7765,0.8349,59.1614,31.7657,0.2085,56.123,41.4688,24.3573,8.6481,497.6259,14.4894,-0.2402,-13.3164,-21.2734,-27.8058,5.1095,-255.2809,13.8387,-0.2643,-10.8718,-18.6839,-24.7105,4.938,-224.2071,14.4507,-0.2069,-16.4365,-24.2422,-30.8872,5.0157,-290.907
-74.5,-70.0,1715.0,5.85,0.1618,13.6,10.7583,7.75,1.7407,129.1,5.1268,0.0167,95.1024,93.253,89.9756,1.5604,1119.0359,2.4523,0.1411,7.2288,5.9161,4.7765,0.8349,59.1614,27.8076,0.2069,49.3965,36.374,21.5889,7.526,436.4874,14.3584,-0.2321,-13.9048,-21.8013,-28.2632,5.0608,-261.6159,13.6404,-0.2545,-11.3939,-19.1111,-25.0343,4.8629,-229.3331,14.2895,-0.1996,-17.1353,-24.8843,-31.4248,4.9675,-298.6111
-74.5,-69.5,1752.0,5.6,0.1638,12.9,10.0125,7.3,1.6399,120.15,4.8231,0.0159,95.1763,93.4574,90.3532,1.4905,1121.4886,2.4523,0.1411,7.2288,5.9161,4.7765,0.8349,59.1614,25.4531,0.2045,45.7941,33.7174,20.341,6.8942,404.6088,14.2043,-0.2247,-14.4522,-22.2799,-28.6565,5.007,-267.3587,13.4463,-0.2454,-11.8973,-19.5197,-25.3436,4.7895,-234.2367,14.109,-0.1932,-17.7641,-25.4433,-31.8731,4.9156,-305.3196
