latitud,longitud,altura,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total
-30.3333,-66.2833,461.0,5.4,0.6835,5.8,3.0417,0.4,2.0791,36.5,23.8,0.1498,70.3,58.7167,46.5,8.7983,704.6,1.7,0.1714,3.9,3.225,2.2,0.5529,38.7,90.7,0.9321,93.4,38.3417,2.7,35.7392,460.1,16.0,0.2895,27.0,19.875,11.0,5.7536,238.5,15.2,0.2088,33.8,26.875,18.6,5.6125,322.5,15.6,0.4043,20.6,13.7417,5.0,5.5551,164.9
-29.2167,-67.4333,947.0,4.56,0.8585,4.86,2.0217,0.3,1.7356,24.26,17.5,0.0989,68.5,59.4233,51.0,5.8783,713.08,1.7,0.2113,3.6,2.8167,1.9,0.5952,33.8,51.74,1.0652,52.94,17.1817,1.2,18.3015,206.18,16.2,0.3176,25.7,18.5917,9.5,5.9046,223.1,15.7,0.2194,33.7,26.5917,18.0,5.833,319.1,17.6,0.5755,19.1,11.2167,1.5,6.4553,134.6
-45.7833,-67.45,46.0,2.6,0.266,4.2,2.8917,1.6,0.7692,34.7,20.0,0.1441,59.0,49.3333,39.0,7.1069,592.0,0.4,0.0362,4.5,4.3833,4.1,0.1586,52.6,26.5,0.418,37.2,21.5083,10.7,8.9903,258.1,13.1,0.3548,19.8,13.175,6.7,4.6751,158.1,15.3,0.2952,26.3,18.6917,11.0,5.5173,224.3,10.8,0.4825,13.5,8.0083,2.7,3.8644,96.1
-31.3,-58.0,37.0,3.8,0.1834,8.1,6.4167,4.3,1.1769,77.0,17.0,0.0803,81.6,73.0,64.6,5.8628,876.0,1.1,0.1152,4.0,3.3417,2.9,0.3848,40.1,117.9,0.3101,173.2,122.3333,55.3,37.935,1468.0,13.5,0.2513,25.6,18.95,12.1,4.7628,227.4,14.1,0.1997,31.9,24.8833,17.8,4.9684,298.6,12.1,0.3177,19.5,13.55,7.4,4.3049,162.6
-31.4167,-64.1833,425.0,8.6,0.6122,9.6,5.325,1.0,3.26,63.9,17.9,0.1018,73.6,65.15,55.7,6.6315,781.8,1.3,0.0961,4.1,3.5167,2.8,0.338,42.2,137.2,0.7617,143.9,67.9667,6.7,51.7677,815.6,13.9,0.2691,24.7,18.3833,10.8,4.9466,220.6,12.8,0.1794,31.2,25.3417,18.4,4.5472,304.1,13.4,0.3763,18.9,12.75,5.5,4.798,153.0
-38.0,-61.33,247.0,4.3,0.2393,7.6,5.6583,3.3,1.3541,67.9,18.3,0.0849,79.5,71.3917,61.2,6.0614,856.7,1.0,0.0979,4.3,3.8583,3.3,0.3777,46.3,70.7,0.3907,93.2,62.775,22.5,24.5272,753.3,15.3,0.4008,21.5,13.65,6.2,5.4705,163.8,16.8,0.2881,29.3,20.7333,12.5,5.9735,248.8,12.6,0.6303,13.7,7.225,1.1,4.5539,86.7
-37.45,-61.8833,233.0,4.3,0.3155,7.0,5.2,2.7,1.6407,57.2,20.6,0.0916,81.5,72.5091,60.9,6.6442,797.6,0.9,0.0887,4.4,3.9745,3.5,0.3526,43.72,70.1,0.425,94.2,62.9818,24.1,26.7641,692.8,14.5,0.4004,21.3,13.1436,6.8,5.2632,144.58,16.5,0.2855,29.0,20.1909,12.5,5.7638,222.1,13.4,0.7186,13.8,6.4636,0.4,4.6446,71.1
-27.4333,-58.75,62.0,5.2,0.2877,8.3,6.2583,3.1,1.8007,75.1,11.9,0.0555,80.4,74.125,68.5,4.1128,889.5,1.1,0.0862,4.3,3.6,3.2,0.3104,43.2,152.6,0.4858,184.8,121.2583,32.2,58.9079,1455.1,11.7,0.1951,26.9,21.375,15.2,4.1698,256.5,11.8,0.1536,33.0,27.3417,21.2,4.2005,328.1,11.2,0.243,21.6,16.35,10.4,3.9737,196.2
-36.3167,-57.7167,9.0,2.4,0.1375,7.4,6.1417,5.0,0.8447,73.7,14.1,0.0602,85.2,79.1917,71.1,4.7676,950.3,1.0,0.1064,4.0,3.55,3.0,0.3778,42.6,50.5,0.2123,109.2,82.2167,58.7,17.4539,986.6,13.8,0.3282,21.8,15.0583,8.0,4.9417,180.7,14.9,0.2506,28.5,21.25,13.6,5.3245,255.0,11.6,0.4334,15.4,9.675,3.8,4.1929,116.1
-41.95,-71.5333,326.0,9.8,0.4649,13.6,7.875,3.8,3.6614,94.5,24.6,0.1289,83.8,72.1417,59.2,9.2983,865.7,2.5,0.1833,5.6,4.3667,3.1,0.8004,52.4,142.3,0.6507,173.1,75.4667,30.8,49.1063,905.6,13.8,0.4921,17.4,10.15,3.6,4.995,121.8,16.9,0.3608,25.7,17.3333,8.8,6.2545,208.0,8.3,0.825,7.9,3.6167,-0.4,2.9838,43.4
