latitud,longitud,altura,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total,duracion_dia_verano_horas,duracion_dia_invierno_horas,angulo_cenital_mediodia_verano_grados,angulo_cenital_mediodia_invierno_grados,ghi
-26.2667,-53.6667,815.0,5.5,0.1866,12.0,9.4333,6.5,1.7603,113.2,12.4,0.0505,79.8,75.4583,67.4,3.8097,905.5,1.3,0.0797,5.3,4.7417,4.0,0.3777,56.9,171.5,0.2195,277.9,187.4667,106.4,41.1551,2249.6,8.0,0.1535,22.9,19.275,14.9,2.9588,231.3,8.8,0.1325,28.1,24.225,19.3,3.2105,290.7,7.8,0.1819,19.0,15.3833,11.2,2.7983,184.6,13.6481,10.3519,2.8169,49.7165,198.3715
-36.1833,-61.0667,94.0,4.5,0.272,8.0,5.8333,3.5,1.5865,70.0,15.8,0.0688,81.8,74.7833,66.0,5.1437,897.4,0.9,0.0977,4.2,3.7417,3.3,0.3655,44.9,97.6,0.4086,133.0,84.8417,35.4,34.6628,1018.1,15.0,0.3556,22.3,14.9917,7.3,5.3304,179.9,15.8,0.2564,29.6,21.9333,13.8,5.6229,263.2,13.0,0.5249,15.0,8.7583,2.0,4.5971,105.1,14.4665,9.5335,12.7335,59.6331,200.7892
-34.5833,-58.4833,25.0,3.0,0.164,7.9,6.375,4.9,1.0454,76.5,15.9,0.0758,78.7,71.2333,62.8,5.3962,854.8,1.1,0.1152,4.3,3.7083,3.2,0.4274,44.5,72.9,0.2553,134.4,104.8,61.5,26.7578,1257.6,13.9,0.2724,24.9,18.0833,11.0,4.9252,217.0,14.6,0.2258,30.1,22.975,15.5,5.1881,275.7,12.7,0.3275,20.2,13.825,7.5,4.5281,165.9,14.3201,9.6799,11.1335,58.0331,199.8639
-28.5833,-65.75,464.0,6.4,0.6424,7.0,3.5167,0.6,2.2591,42.2,26.0,0.1679,66.5,54.7167,40.5,9.1856,656.6,1.1,0.1261,3.5,3.1,2.4,0.3908,37.2,78.0,0.8654,80.9,34.2583,2.9,29.6474,411.1,16.1,0.2792,27.8,21.0417,11.7,5.8754,252.5,14.4,0.1859,34.6,28.375,20.2,5.2754,340.5,17.4,0.4352,21.9,14.5833,4.5,6.3468,175.0,13.8227,10.1773,5.1335,52.0331,215.4028
-29.8667,-61.9333,88.0,6.1,0.4819,7.4,4.825,1.3,2.325,57.9,14.6,0.072,80.8,73.2,66.2,5.2738,878.4,1.1,0.1099,4.1,3.4333,3.0,0.3774,41.2,138.9,0.6841,147.3,78.6,8.4,53.7697,943.2,13.9,0.2566,25.5,19.075,11.6,4.8938,228.9,13.2,0.1796,32.3,26.1,19.1,4.6889,313.2,13.3,0.3542,19.4,13.25,6.1,4.6932,159.0,13.9232,10.0768,6.4169,53.3165,207.0114
-30.3333,-66.2833,461.0,5.4,0.6835,5.8,3.0417,0.4,2.0791,36.5,23.8,0.1498,70.3,58.7167,46.5,8.7983,704.6,1.7,0.1714,3.9,3.225,2.2,0.5529,38.7,90.7,0.9321,93.4,38.3417,2.7,35.7392,460.1,16.0,0.2895,27.0,19.875,11.0,5.7536,238.5,15.2,0.2088,33.8,26.875,18.6,5.6125,322.5,15.6,0.4043,20.6,13.7417,5.0,5.5551,164.9,13.9604,10.0396,6.8835,53.7831,226.9174
-29.2167,-67.4333,947.0,4.56,0.8585,4.86,2.0217,0.3,1.7356,24.26,17.5,0.0989,68.5,59.4233,51.0,5.8783,713.08,1.7,0.2113,3.6,2.8167,1.9,0.5952,33.8,51.74,1.0652,52.94,17.1817,1.2,18.3015,206.18,16.2,0.3176,25.7,18.5917,9.5,5.9046,223.1,15.7,0.2194,33.7,26.5917,18.0,5.833,319.1,17.6,0.5755,19.1,11.2167,1.5,6.4553,134.6,13.8719,10.1281,5.7669,52.6665,242.8601
-45.7833,-67.45,46.0,2.6,0.266,4.2,2.8917,1.6,0.7692,34.7,20.0,0.1441,59.0,49.3333,39.0,7.1069,592.0,0.4,0.0362,4.5,4.3833,4.1,0.1586,52.6,26.5,0.418,37.2,21.5083,10.7,8.9903,258.1,13.1,0.3548,19.8,13.175,6.7,4.6751,158.1,15.3,0.2952,26.3,18.6917,11.0,5.5173,224.3,10.8,0.4825,13.5,8.0083,2.7,3.8644,96.1,15.5299,8.4701,22.3335,69.2331,181.3801
-31.3,-58.0,37.0,3.8,0.1834,8.1,6.4167,4.3,1.1769,77.0,17.0,0.0803,81.6,73.0,64.6,5.8628,876.0,1.1,0.1152,4.0,3.3417,2.9,0.3848,40.1,117.9,0.3101,173.2,122.3333,55.3,37.935,1468.0,13.5,0.2513,25.6,18.95,12.1,4.7628,227.4,14.1,0.1997,31.9,24.8833,17.8,4.9684,298.6,12.1,0.3177,19.5,13.55,7.4,4.3049,162.6,14.0389,9.9611,7.8502,54.7498,200.5801
-31.2833,-64.2,495.0,7.9,0.619,8.6,5.0083,0.7,3.1,60.1,20.1,0.1093,75.1,65.9833,55.0,7.2149,791.8,1.3,0.0915,4.3,3.7,3.0,0.3384,44.4,140.5,0.7694,146.5,71.3583,6.0,54.9036,856.3,13.7,0.2809,23.5,17.2583,9.8,4.8485,207.1,12.2,0.177,29.9,24.3917,17.7,4.3175,292.7,13.8,0.4445,17.5,11.15,3.7,4.9563,133.8,14.0375,9.9625,7.8335,54.7331,209.883
