estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total,G0_verano_W_m2,G0_invierno_W_m2,declinacion_verano_grados,declinacion_invierno_grados,duracion_dia_verano_horas,duracion_dia_invierno_horas,angulo_cenital_mediodia_verano_grados,angulo_cenital_mediodia_invierno_grados,ghi,dhi,dni
estacion_virtual_1123,Santiago del Estero,NOA,VIRTUAL,-28.0,-63.5,106.0,,10.95,0.6883,11.5,6.0042,0.55,4.1327,72.05,26.1875,0.1635,68.1804,56.6687,41.9929,9.2633,680.024,2.0048,0.1616,4.9949,4.1522,2.9901,0.6709,49.8261,123.3142,0.8202,125.5221,58.0921,2.2079,47.6447,697.1054,14.3869,0.24,28.5855,22.3292,14.1986,5.358,267.9501,13.416,0.1683,36.0506,30.2174,22.6346,5.0854,362.6091,14.2762,0.339,21.7285,15.4322,7.4523,5.2313,185.1869,1405.913,1316.8187,-23.0859,23.4498,13.7466,10.222,4.9141,51.4498,205.44005555555555,80.11977777777777,210.4394166666667
estacion_virtual_1124,Santiago del Estero,NOA,VIRTUAL,-28.0,-63.0,94.0,,11.25,0.6149,12.35,6.9917,1.1,4.2991,83.9,24.104,0.1487,67.3384,56.2342,43.2344,8.3604,674.81,1.5712,0.1201,4.9838,4.3388,3.4126,0.5209,52.0652,119.8148,0.7773,123.1774,58.6886,3.3626,45.6198,704.2635,14.0914,0.2324,28.7621,22.5267,14.6707,5.2354,270.32,13.0052,0.1636,35.8024,30.131,22.7972,4.929,361.5725,14.1209,0.3257,22.1238,15.774,8.0029,5.1374,189.2876,1405.913,1316.8187,-23.0859,23.4498,13.7466,10.222,4.9141,51.4498,204.75119444444442,81.44705555555556,204.84574999999998
estacion_virtual_1125,Santiago del Estero,NOA,VIRTUAL,-28.0,-62.5,89.0,,11.05,0.5464,12.5,7.625,1.45,4.1662,91.5,22.3148,0.1331,69.1175,58.4433,46.8027,7.779,701.3191,1.5712,0.1201,4.9838,4.3388,3.4126,0.5209,52.0652,118.0025,0.7285,123.2362,62.1446,5.2337,45.2748,745.7351,13.8181,0.2301,28.4646,22.223,14.6465,5.1129,266.6759,12.7842,0.1636,35.2499,29.5791,22.4657,4.8398,354.9494,13.7508,0.3172,22.048,15.7233,8.2972,4.9873,188.6792,1405.913,1316.8187,-23.0859,23.4498,13.7466,10.222,4.9141,51.4498,204.75119444444442,81.44705555555556,204.84574999999998
estacion_virtual_1126,Santiago del Estero,NOA,VIRTUAL,-28.0,-62.0,81.0,,10.8,0.4769,13.0,8.3958,2.2,4.0037,100.75,21.9266,0.1227,73.0085,61.7665,51.0819,7.5759,741.1985,1.3385,0.1038,4.7417,4.2527,3.4032,0.4415,51.0321,123.3157,0.6492,132.4391,72.2707,9.1234,46.9209,867.2479,13.8231,0.2328,28.2437,21.9075,14.4206,5.0994,262.8894,13.0082,0.1681,35.0151,29.197,22.0069,4.9086,350.3643,13.6092,0.3172,21.8486,15.5134,8.2394,4.9202,186.1606,1405.913,1316.8187,-23.0859,23.4498,13.7466,10.222,4.9141,51.4498,206.85305555555556,80.97519444444445,207.42779166666665
estacion_virtual_1127,Santa Fe,Pampeana,VIRTUAL,-28.0,-61.5,71.0,,9.15,0.4058,12.0,8.375,2.85,3.3988,100.5,20.4602,0.1094,76.6462,65.5656,56.186,7.1737,786.7875,1.3385,0.1038,4.7417,4.2527,3.4032,0.4415,51.0321,127.5996,0.5857,142.4618,85.4603,14.8622,50.0544,1025.524,13.8294,0.2351,27.9692,21.5657,14.1398,5.0696,258.7885,13.2611,0.1716,34.9347,28.9721,21.6736,4.9719,347.6649,13.4744,0.3193,21.514,15.1743,8.0396,4.8449,182.0919,1405.913,1316.8187,-23.0859,23.4498,13.7466,10.222,4.9141,51.4498,206.85305555555556,80.97519444444445,207.42779166666665
estacion_virtual_1128,Santa Fe,Pampeana,VIRTUAL,-28.0,-61.0,62.0,,9.15,0.4058,12.0,8.375,2.85,3.3988,100.5,20.4602,0.1094,76.6462,65.5656,56.186,7.1737,786.7875,1.4401,0.1089,4.699,4.1186,3.2589,0.4486,49.4238,127.5996,0.5857,142.4618,85.4603,14.8622,50.0544,1025.524,13.8294,0.2351,27.9692,21.5657,14.1398,5.0696,258.7885,13.2611,0.1716,34.9347,28.9721,21.6736,4.9719,347.6649,13.4744,0.3193,21.514,15.1743,8.0396,4.8449,182.0919,1405.913,1316.8187,-23.0859,23.4498,13.7466,10.222,4.9141,51.4498,206.6837222222222,78.80525,211.16075
estacion_virtual_1129,Chaco,NEA,VIRTUAL,-28.0,-60.5,54.0,,9.15,0.3903,12.35,8.65,3.2,3.3761,103.8,19.3284,0.0982,78.8708,68.0707,59.5424,6.6826,816.8486,1.4401,0.1089,4.699,4.1186,3.2589,0.4486,49.4238,134.5604,0.5548,153.024,93.0523,18.4636,51.6258,1116.6276,13.6589,0.2327,27.7257,21.3804,14.0668,4.9752,256.5643,13.0679,0.1703,34.5379,28.6755,21.47,4.8847,344.1059,13.2213,0.3137,21.3313,15.0791,8.11,4.7308,180.9498,1405.913,1316.8187,-23.0859,23.4498,13.7466,10.222,4.9141,51.4498,206.6837222222222,78.80525,211.16075
estacion_virtual_113,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Patagonia,VIRTUAL,-75.5,-69.0,1456.0,,1.65,0.0807,7.5,6.8917,5.85,0.5563,82.7,2.2308,0.0078,92.9064,91.6435,90.6756,0.7176,1099.7223,2.0912,0.1241,7.2512,6.0036,5.16,0.7448,54.0325,8.104,0.1079,25.763,22.1001,17.659,2.3843,265.2017,15.1579,-0.2477,-13.4382,-22.2505,-28.5961,5.5105,-267.0065,14.1717,-0.2632,-11.2203,-19.5285,-25.392,5.1393,-234.342,15.4197,-0.2207,-16.323,-25.3504,-31.7427,5.5945,-304.2044,1405.913,1316.8187,-23.0859,23.4498,24.0,0.0,52.4141,98.9498,133.9127777777778,62.79552777777778,159.60916666666665
estacion_virtual_1130,Chaco,NEA,VIRTUAL,-28.0,-60.0,55.0,,8.25,0.3603,11.9,8.5958,3.65,3.0974,103.15,17.2976,0.0879,81.0089,70.7445,63.7113,6.2167,848.9339,1.1833,0.0781,4.7175,4.0884,3.5342,0.3193,49.0611,153.5033,0.5143,177.8233,105.3764,24.32,54.1912,1264.5172,13.4353,0.2306,27.4181,21.1315,13.9828,4.8727,253.5777,13.4947,0.1745,35.0912,28.8841,21.5965,5.0415,346.6089,12.7011,0.3061,20.8223,14.8212,8.1212,4.5362,177.8546,1405.913,1316.8187,-23.0859,23.4498,13.7466,10.222,4.9141,51.4498,204.86149999999998,77.58011111111111,212.98320833333335
estacion_virtual_1131,Chaco,NEA,VIRTUAL,-28.0,-59.5,35.0,,8.0,0.3536,11.8,8.6125,3.8,3.0457,103.35,15.7701,0.0832,81.7409,71.557,65.9708,5.9555,858.684,1.1833,0.0781,4.7175,4.0884,3.5342,0.3193,49.0611,155.4111,0.5048,181.4237,107.8504,26.0126,54.4392,1294.2048,13.3757,0.2274,27.558,21.2928,14.1823,4.8412,255.5132,13.2345,0.1736,34.488,28.3839,21.2535,4.9271,340.6074,12.7387,0.2957,21.4271,15.3656,8.6884,4.5429,184.3866,1405.913,1316.8187,-23.0859,23.4498,13.7466,10.222,4.9141,51.4498,204.86149999999998,77.58011111111111,212.98320833333335
estacion_virtual_1132,Chaco,NEA,VIRTUAL,-28.0,-59.0,59.0,,7.55,0.3132,12.25,9.1292,4.7,2.8597,109.55,16.9559,0.0838,81.8548,71.4171,64.8989,5.982,857.0048,1.0307,0.0692,4.7171,4.149,3.6864,0.2872,49.7886,152.5123,0.4654,186.273,114.5591,33.7607,53.32,1374.7089,13.4129,0.2277,27.7062,21.4167,14.2933,4.877,256.9998,12.938,0.1737,33.5764,27.6959,20.6384,4.8094,332.3508,12.8689,0.293,21.9477,15.7282,9.0788,4.6078,188.7382,1405.913,1316.8187,-23.0859,23.4498,13.7466,10.222,4.9141,51.4498,202.84494444444442,77.58213888888888,206.6179583333333
estacion_virtual_1133,Corrientes,NEA,VIRTUAL,-28.0,-58.5,47.0,,7.55,0.3132,12.25,9.1292,4.7,2.8597,109.55,16.9559,0.0838,81.8548,71.4171,64.8989,5.982,857.0048,1.0307,0.0692,4.7171,4.149,3.6864,0.2872,49.7886,152.5123,0.4654,186.273,114.5591,33.7607,53.32,1374.7089,13.4129,0.2277,27.7062,21.4167,14.2933,4.877,256.9998,12.938,0.1737,33.5764,27.6959,20.6384,4.8094,332.3508,12.8689,0.293,21.9477,15.7282,9.0788,4.6078,188.7382,1405.913,1316.8187,-23.0859,23.4498,13.7466,10.222,4.9141,51.4498,202.84494444444442,77.58213888888888,206.6179583333333
estacion_virtual_1134,Corrientes,NEA,VIRTUAL,-28.0,-58.0,93.0,,7.65,0.2956,12.55,9.3083,4.9,2.7511,111.7,17.1734,0.0838,82.5809,72.0767,65.4075,6.0393,864.9205,0.9061,0.0598,4.7263,4.2171,3.8202,0.2524,50.6056,147.9698,0.45,184.489,116.0547,36.5192,52.2267,1392.6566,13.2239,0.2256,27.5272,21.3425,14.3033,4.8154,256.1104,12.7398,0.1702,33.6376,27.9143,20.8978,4.7511,334.9714,12.6711,0.2929,21.6345,15.4946,8.9634,4.5378,185.9354,1405.913,1316.8187,-23.0859,23.4498,13.7466,10.222,4.9141,51.4498,201.78530555555554,78.21966666666667,202.77987500000003
estacion_virtual_1135,Corrientes,NEA,VIRTUAL,-28.0,-57.5,65.0,,5.75,0.1915,13.5,10.9875,7.75,2.1036,131.85,18.0066,0.086,84.8448,74.471,66.8382,6.4033,893.6521,0.9061,0.0598,4.7263,4.2171,3.8202,0.2524,50.6056,121.8172,0.338,182.8369,127.9547,61.0197,43.2518,1535.4563,13.3781,0.2293,27.5295,21.1975,14.1514,4.861,254.3697,13.1397,0.1771,33.3673,27.3749,20.2276,4.8482,328.4994,12.6987,0.2918,21.8084,15.6037,9.1097,4.5529,187.2448,1405.913,1316.8187,-23.0859,23.4498,13.7466,10.222,4.9141,51.4498,201.78530555555554,78.21966666666667,202.77987500000003
estacion_virtual_1136,Corrientes,NEA,VIRTUAL,-28.0,-57.0,67.0,,5.05,0.1679,13.0,10.6542,7.95,1.7884,127.85,17.8626,0.0835,85.8658,76.1164,68.0032,6.354,913.3965,0.709,0.0589,4.6459,4.2201,3.9369,0.2486,50.641,131.3506,0.31,203.0264,135.7035,71.6758,42.0616,1628.4414,13.3485,0.2289,27.5166,21.1528,14.1681,4.8421,253.8337,13.3518,0.1813,33.2949,27.148,19.9431,4.9223,325.7759,12.5209,0.2869,21.804,15.6462,9.2831,4.4892,187.7547,1405.913,1316.8187,-23.0859,23.4498,13.7466,10.222,4.9141,51.4498,201.38155555555554,77.3421388888889,205.12125
estacion_virtual_1137,Corrientes,NEA,VIRTUAL,-28.0,-56.5,61.0,,4.95,0.155,13.05,10.8333,8.1,1.6791,130.0,16.4786,0.0766,86.1509,77.0626,69.6723,5.8992,924.7506,0.709,0.0589,4.6459,4.2201,3.9369,0.2486,50.641,132.7734,0.2914,213.4016,142.182,80.6282,41.436,1706.184,12.8029,0.2221,27.0119,20.9134,14.209,4.6451,250.9606,13.2182,0.181,33.1958,27.0576,19.9776,4.8975,324.6916,11.8733,0.2723,21.3417,15.5427,9.4684,4.2323,186.5124,1405.913,1316.8187,-23.0859,23.4498,13.7466,10.222,4.9141,51.4498,201.38155555555554,77.3421388888889,205.12125
estacion_virtual_1138,Corrientes,NEA,VIRTUAL,-28.0,-56.0,71.0,,4.95,0.155,13.05,10.8333,8.1,1.6791,130.0,16.4786,0.0766,86.1509,77.0626,69.6723,5.8992,924.7506,0.746,0.0583,4.7666,4.3819,4.0206,0.2554,52.5833,132.7734,0.2914,213.4016,142.182,80.6282,41.436,1706.184,12.8029,0.2221,27.0119,20.9134,14.209,4.6451,250.9606,13.2182,0.181,33.1958,27.0576,19.9776,4.8975,324.6916,11.8733,0.2723,21.3417,15.5427,9.4684,4.2323,186.5124,1405.913,1316.8187,-23.0859,23.4498,13.7466,10.222,4.9141,51.4498,198.38030555555554,79.03230555555557,199.577375
estacion_virtual_1139,Misiones,NEA,VIRTUAL,-28.0,-55.5,187.0,,4.8,0.1537,12.9,10.8292,8.1,1.6647,129.95,15.3087,0.0697,85.6581,77.4223,70.3494,5.3996,929.0676,0.746,0.0583,4.7666,4.3819,4.0206,0.2554,52.5833,127.5608,0.2718,215.559,144.3417,87.9982,39.2281,1732.1005,12.3949,0.2174,26.635,20.7463,14.2401,4.5111,248.9561,12.5613,0.1777,32.1619,26.3177,19.6006,4.6779,315.8129,11.6139,0.2651,21.2223,15.5876,9.6084,4.133,187.0517,1405.913,1316.8187,-23.0859,23.4498,13.7466,10.222,4.9141,51.4498,198.38030555555554,79.03230555555557,199.577375
estacion_virtual_114,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Patagonia,VIRTUAL,-75.5,-68.5,1409.0,,1.65,0.0807,7.5,6.8917,5.85,0.5563,82.7,2.2308,0.0078,92.9064,91.6435,90.6756,0.7176,1099.7223,2.0912,0.1241,7.2512,6.0036,5.16,0.7448,54.0325,8.104,0.1079,25.763,22.1001,17.659,2.3843,265.2017,15.1579,-0.2477,-13.4382,-22.2505,-28.5961,5.5105,-267.0065,14.1717,-0.2632,-11.2203,-19.5285,-25.392,5.1393,-234.342,15.4197,-0.2207,-16.323,-25.3504,-31.7427,5.5945,-304.2044,1405.913,1316.8187,-23.0859,23.4498,24.0,0.0,52.4141,98.9498,133.9127777777778,62.79552777777778,159.60916666666665
estacion_virtual_1140,Catamarca,NOA,VIRTUAL,-27.5,-68.5,4869.0,,5.8,0.7547,6.45,2.9917,0.65,2.2577,35.9,15.0362,0.1551,41.0683,33.778,26.0321,5.2394,405.3355,1.6599,0.2084,3.773,2.8386,2.1131,0.5916,34.0626,28.1735,0.7942,30.8825,13.4846,2.709,10.7095,161.8153,13.0168,-2.5248,4.6338,-1.8158,-8.383,4.5847,-21.79,14.5121,0.8295,13.7125,6.4137,-0.7996,5.3201,76.9639,10.1658,-0.4123,-3.9284,-8.5694,-14.0942,3.5331,-102.8323,1405.913,1316.8187,-23.0859,23.4498,13.7093,10.26,4.4141,50.9498,285.3561666666667,73.39986111111112,367.8650416666667
estacion_virtual_1141,Catamarca,NOA,VIRTUAL,-27.5,-68.0,4270.0,,8.5,0.7541,9.3,4.4417,0.8,3.3493,53.3,36.2014,0.3784,56.7566,35.3905,20.5552,13.3912,424.6866,1.8169,0.2132,3.8489,2.7276,2.032,0.5816,32.7314,47.1048,0.8532,49.5922,20.7541,2.4874,17.7073,249.049,9.4675,0.8284,8.6478,4.2585,-0.8197,3.5278,51.1019,9.8868,0.2844,17.2175,13.0348,7.3307,3.7065,156.4178,7.6906,-0.9651,1.5118,-2.6801,-6.1788,2.5866,-32.1606,1405.913,1316.8187,-23.0859,23.4498,13.7093,10.26,4.4141,50.9498,259.6297777777778,75.58255555555554,331.8586666666667
estacion_virtual_1142,Catamarca,NOA,VIRTUAL,-27.5,-67.5,2036.0,,11.0,0.7053,11.95,6.0083,0.95,4.2376,72.1,35.3618,0.3,62.3267,43.8815,26.9649,13.1646,526.5785,1.8169,0.2132,3.8489,2.7276,2.032,0.5816,32.7314,85.0519,0.8683,87.8374,36.3628,2.7855,31.5727,436.3539,9.9696,0.2922,17.2791,12.7188,7.3095,3.7159,152.6257,7.7443,0.1333,24.7997,21.5207,17.0554,2.8687,258.2485,10.2749,0.6272,11.2047,6.0019,0.9298,3.7642,72.023,1405.913,1316.8187,-23.0859,23.4498,13.7093,10.26,4.4141,50.9498,259.6297777777778,75.58255555555554,331.8586666666667
estacion_virtual_1143,Catamarca,NOA,VIRTUAL,-27.5,-67.0,1481.0,,11.3,0.6896,12.25,6.3042,0.95,4.3471,75.65,31.6877,0.2313,65.5018,49.7979,33.8141,11.5172,597.5745,1.84,0.1918,3.9575,2.8845,2.1175,0.5532,34.614,109.1855,0.8593,112.6786,47.1106,3.4931,40.483,565.3272,10.74,0.2738,19.5439,14.6455,8.8039,4.0097,175.7464,8.3909,0.1393,26.0663,22.3783,17.6754,3.1174,268.5394,11.236,0.4959,13.7744,8.419,2.5384,4.1751,101.0276,1405.913,1316.8187,-23.0859,23.4498,13.7093,10.26,4.4141,50.9498,251.64261111111117,81.24036111111111,294.07466666666664
estacion_virtual_1144,Catamarca,NOA,VIRTUAL,-27.5,-66.5,1470.0,,12.1,0.6739,13.05,6.7,0.95,4.5151,80.4,28.6029,0.1744,73.1567,59.1819,44.5538,10.3215,710.1827,1.84,0.1918,3.9575,2.8845,2.1175,0.5532,34.614,126.2723,0.8586,130.0649,54.7663,3.7926,47.02,657.196,10.898,0.3019,18.4612,13.5898,7.5632,4.1032,163.078,9.1381,0.1604,25.1664,21.274,16.0283,3.4117,255.2881,10.8964,0.5391,12.8933,7.6362,1.9969,4.1168,91.6341,1405.913,1316.8187,-23.0859,23.4498,13.7093,10.26,4.4141,50.9498,251.64261111111117,81.24036111111111,294.07466666666664
estacion_virtual_1145,Catamarca,NOA,VIRTUAL,-27.5,-66.0,1773.0,,12.1,0.6739,13.05,6.7,0.95,4.5151,80.4,28.6029,0.1744,73.1567,59.1819,44.5538,10.3215,710.1827,2.1819,0.1584,5.5219,4.5995,3.34,0.7285,55.1943,126.2723,0.8586,130.0649,54.7663,3.7926,47.02,657.196,10.898,0.3019,18.4612,13.5898,7.5632,4.1032,163.078,9.1381,0.1604,25.1664,21.274,16.0283,3.4117,255.2881,10.8964,0.5391,12.8933,7.6362,1.9969,4.1168,91.6341,1405.913,1316.8187,-23.0859,23.4498,13.7093,10.26,4.4141,50.9498,202.74761111111107,83.48422222222221,215.03662499999996
estacion_virtual_1146,Tucumán,NOA,VIRTUAL,-27.5,-65.5,336.0,,12.1,0.6665,13.0,6.8958,0.9,4.5962,82.75,30.3089,0.1723,76.2586,62.9729,45.9497,10.8498,755.675,2.1819,0.1584,5.5219,4.5995,3.34,0.7285,55.1943,145.2331,0.8523,149.3307,63.3572,4.0976,53.9971,760.2859,12.6311,0.2544,24.0466,18.6017,11.4155,4.7329,223.221,11.4794,0.1713,30.4438,25.4801,18.9644,4.3649,305.761,12.6824,0.3592,18.658,12.9204,5.9756,4.6414,155.0447,1405.913,1316.8187,-23.0859,23.4498,13.7093,10.26,4.4141,50.9498,202.74761111111107,83.48422222222221,215.03662499999996
estacion_virtual_1147,Tucumán,NOA,VIRTUAL,-27.5,-65.0,272.0,,12.5,0.6735,13.15,7.0167,0.65,4.7255,84.2,29.6428,0.1771,72.3029,60.0349,42.6601,10.6301,720.4188,2.0527,0.1576,4.8961,4.1257,2.8434,0.6502,49.5084,148.3324,0.8485,151.646,65.3875,3.3136,55.4806,784.6495,13.8267,0.2402,27.5579,21.7222,13.7312,5.2181,260.6661,12.5738,0.1655,34.34,29.0329,21.7662,4.8042,348.3949,13.9418,0.3346,21.5171,15.4156,7.5753,5.1582,184.9871,1405.913,1316.8187,-23.0859,23.4498,13.7093,10.26,4.4141,50.9498,205.34355555555555,79.02600000000001,211.33783333333335
estacion_virtual_1148,Santiago del Estero,NOA,VIRTUAL,-27.5,-63.5,151.0,,10.9,0.7088,11.35,5.9125,0.45,4.1909,70.95,26.8433,0.1677,67.5448,56.069,40.7015,9.4015,672.8282,2.0048,0.1616,4.9949,4.1522,2.9901,0.6709,49.8261,133.1873,0.8303,134.9348,61.0996,1.7475,50.7334,733.1956,14.0254,0.2304,28.7777,22.7847,14.7523,5.2489,273.4161,12.7062,0.1605,35.7487,30.4189,23.0425,4.8822,365.0264,14.2004,0.3258,22.1605,15.9632,7.9601,5.2014,191.5589,1405.913,1316.8187,-23.0859,23.4498,13.7093,10.26,4.4141,50.9498,205.44005555555555,80.11977777777777,210.4394166666667
estacion_virtual_1149,Santiago del Estero,NOA,VIRTUAL,-27.5,-63.0,150.0,,11.3,0.633,12.1,6.8875,0.8,4.3598,82.65,25.1647,0.1528,67.4914,56.2775,42.3267,8.5998,675.3297,1.5712,0.1201,4.9838,4.3388,3.4126,0.5209,52.0652,125.1141,0.7912,127.8369,59.8595,2.7228,47.3616,718.3134,13.5369,0.2221,28.7135,22.8071,15.1766,5.0666,273.6853,12.4252,0.156,35.6779,30.3948,23.2527,4.7423,364.7381,13.741,0.312,22.1615,16.0613,8.4205,5.0115,192.7361,1405.913,1316.8187,-23.0859,23.4498,13.7093,10.26,4.4141,50.9498,204.75119444444442,81.44705555555556,204.84574999999998
estacion_virtual_115,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Patagonia,VIRTUAL,-75.5,-68.0,1461.0,,2.25,0.1007,7.85,7.0208,5.6,0.7073,84.25,2.9481,0.0106,92.0494,90.6883,89.1013,0.9615,1088.2592,1.593,0.0993,7.1084,6.068,5.5154,0.6025,54.6116,13.1632,0.1484,30.7177,23.3814,17.5545,3.4703,280.5766,14.9357,-0.2451,-13.4278,-22.1337,-28.3635,5.424,-265.6042,13.8365,-0.2587,-11.2382,-19.3746,-25.0747,5.0121,-232.4953,15.2706,-0.2192,-16.3151,-25.2836,-31.5857,5.5426,-303.4032,1405.913,1316.8187,-23.0859,23.4498,24.0,0.0,52.4141,98.9498,135.745,67.15983333333332,156.87745833333335
estacion_virtual_1150,Santiago del Estero,NOA,VIRTUAL,-27.5,-62.5,150.0,,10.75,0.5355,12.5,7.5417,1.75,4.0388,90.5,22.7176,0.1335,68.2879,57.7736,45.5703,7.7139,693.2826,1.5712,0.1201,4.9838,4.3388,3.4126,0.5209,52.0652,119.3406,0.7106,125.8614,65.9806,6.5208,46.8871,791.7666,13.378,0.2205,28.545,22.5655,15.167,4.9764,270.7857,12.2726,0.1563,35.261,29.9164,22.9884,4.6748,358.9973,13.4563,0.3048,22.1816,16.0602,8.7253,4.8959,192.7224,1405.913,1316.8187,-23.0859,23.4498,13.7093,10.26,4.4141,50.9498,204.75119444444442,81.44705555555556,204.84574999999998
estacion_virtual_1151,Santiago del Estero,NOA,VIRTUAL,-27.5,-62.0,168.0,,10.95,0.4941,13.0,8.075,2.05,3.9901,96.9,22.4683,0.1237,72.4939,61.3167,50.0256,7.5863,735.8004,1.3385,0.1038,4.7417,4.2527,3.4032,0.4415,51.0321,124.3125,0.645,134.1013,72.8853,9.7888,47.0104,874.6239,13.4803,0.226,28.2525,22.1264,14.7722,5.0006,265.5173,12.5222,0.1621,34.8842,29.3634,22.362,4.7597,352.3611,13.4182,0.3092,21.9606,15.7613,8.5424,4.8733,189.1358,1405.913,1316.8187,-23.0859,23.4498,13.7093,10.26,4.4141,50.9498,206.85305555555556,80.97519444444445,207.42779166666665
estacion_virtual_1152,Chaco,NEA,VIRTUAL,-27.5,-61.5,112.0,,8.3,0.4031,11.0,7.6792,2.7,3.0959,92.15,21.2885,0.1096,75.7245,64.8833,54.436,7.1117,778.5992,1.3385,0.1038,4.7417,4.2527,3.4032,0.4415,51.0321,133.1123,0.5599,152.2437,91.8002,19.1314,51.3987,1101.6026,13.271,0.2227,27.9891,21.9125,14.7181,4.8796,262.9503,13.0575,0.1672,35.245,29.3727,22.1875,4.9124,352.4727,12.905,0.2974,21.5875,15.625,8.6825,4.6472,187.5,1405.913,1316.8187,-23.0859,23.4498,13.7093,10.26,4.4141,50.9498,206.85305555555556,80.97519444444445,207.42779166666665
estacion_virtual_1153,Chaco,NEA,VIRTUAL,-27.5,-61.0,83.0,,8.3,0.4031,11.0,7.6792,2.7,3.0959,92.15,21.2885,0.1096,75.7245,64.8833,54.436,7.1117,778.5992,1.4401,0.1089,4.699,4.1186,3.2589,0.4486,49.4238,133.1123,0.5599,152.2437,91.8002,19.1314,51.3987,1101.6026,13.271,0.2227,27.9891,21.9125,14.7181,4.8796,262.9503,13.0575,0.1672,35.245,29.3727,22.1875,4.9124,352.4727,12.905,0.2974,21.5875,15.625,8.6825,4.6472,187.5,1405.913,1316.8187,-23.0859,23.4498,13.7093,10.26,4.4141,50.9498,206.6837222222222,78.80525,211.16075
estacion_virtual_1154,Chaco,NEA,VIRTUAL,-27.5,-60.5,74.0,,8.95,0.4042,11.85,8.1958,2.9,3.3129,98.35,19.402,0.0986,77.7724,67.2339,58.3704,6.6297,806.8062,1.4401,0.1089,4.699,4.1186,3.2589,0.4486,49.4238,132.1297,0.5558,151.5514,92.4737,19.4217,51.4011,1109.6839,13.3429,0.2249,27.899,21.7557,14.5561,4.8928,261.0689,12.5657,0.1644,34.533,28.9446,21.9673,4.7572,347.3355,13.0601,0.3031,21.6389,15.5161,8.5788,4.7033,186.1929,1405.913,1316.8187,-23.0859,23.4498,13.7093,10.26,4.4141,50.9498,206.6837222222222,78.80525,211.16075
estacion_virtual_1155,Chaco,NEA,VIRTUAL,-27.5,-60.0,70.0,,8.25,0.3676,11.6,8.2125,3.35,3.0187,98.55,17.169,0.0863,80.5892,70.7292,63.4202,6.1049,848.75,1.1833,0.0781,4.7175,4.0884,3.5342,0.3193,49.0611,136.7453,0.5152,161.1545,102.6621,24.4092,52.8872,1231.9458,13.1438,0.2237,27.5403,21.4732,14.3965,4.8028,257.6785,13.0627,0.1697,34.975,29.0613,21.9123,4.9323,348.7351,12.5672,0.2961,21.1378,15.2455,8.5706,4.5146,182.9465,1405.913,1316.8187,-23.0859,23.4498,13.7093,10.26,4.4141,50.9498,204.86149999999998,77.58011111111111,212.98320833333335
estacion_virtual_1156,Corrientes,NEA,VIRTUAL,-27.5,-58.0,65.0,,7.2,0.2958,11.85,9.0833,4.65,2.6867,109.0,15.6028,0.0778,82.46,72.5523,66.8572,5.6429,870.6272,0.9061,0.0598,4.7263,4.2171,3.8202,0.2524,50.6056,143.1568,0.4384,183.2142,117.5795,40.0574,51.5432,1410.9539,13.0469,0.219,27.7631,21.7135,14.7162,4.7557,260.5616,12.5023,0.1665,33.5924,28.0228,21.0901,4.665,336.2734,12.6108,0.2821,22.1207,16.0658,9.5099,4.5327,192.7894,1405.913,1316.8187,-23.0859,23.4498,13.7093,10.26,4.4141,50.9498,201.78530555555554,78.21966666666667,202.77987500000003
