estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total,G0_verano_W_m2,G0_invierno_W_m2,declinacion_verano_grados,declinacion_invierno_grados,duracion_dia_verano_horas,duracion_dia_invierno_horas,angulo_cenital_mediodia_verano_grados,angulo_cenital_mediodia_invierno_grados,ghi,dhi,dni
estacion_virtual_562,Chubut,Patagonia,VIRTUAL,-45.0,-66.0,0.0,,3.05,0.2759,5.2,3.6958,2.15,1.0197,44.35,29.1873,0.1699,77.8126,62.7979,48.6253,10.672,753.575,1.6292,0.1298,4.9029,4.1476,3.2737,0.5384,49.7709,25.2691,0.398,34.5906,21.2693,9.3215,8.4656,255.2317,13.4975,0.4034,18.8949,12.1492,5.3974,4.9014,145.7901,14.8439,0.3287,23.6942,16.3756,8.8503,5.3821,196.5071,11.2211,0.4942,14.0302,8.3107,2.8091,4.1075,99.7284,1405.913,1316.8187,-23.0859,23.4498,15.3639,8.5724,21.9141,68.4498,184.80252777777778,70.64075,219.400875
estacion_virtual_563,Chubut,Patagonia,VIRTUAL,-44.5,-71.0,1007.0,,8.8,0.221,16.55,11.9125,7.75,2.6326,142.95,18.3766,0.0851,93.6055,83.3813,75.2289,7.096,1000.5754,1.3574,0.1171,4.7238,4.1951,3.3664,0.4912,50.3406,75.5282,0.3195,125.6457,73.5462,50.1175,23.4948,882.5542,11.6663,0.8817,10.389,4.6884,-1.2773,4.1339,56.2608,14.7712,0.5565,16.5522,9.4698,1.781,5.2703,113.6376,8.7304,5.1252,4.7692,0.5817,-3.9612,2.9813,6.9803,1405.913,1316.8187,-23.0859,23.4498,15.3018,8.6359,21.4141,67.9498,189.50316666666666,73.85527777777777,239.085375
estacion_virtual_564,Chubut,Patagonia,VIRTUAL,-44.5,-70.5,612.0,,8.4,0.2624,14.95,10.275,6.55,2.6961,123.3,27.2519,0.1356,90.0827,75.4724,62.8308,10.2321,905.6689,1.3574,0.1171,4.7238,4.1951,3.3664,0.4912,50.3406,68.4221,0.3654,103.9411,57.6733,35.519,21.0718,692.0798,13.3876,0.7141,13.2614,6.7087,-0.1262,4.7908,80.5047,16.6206,0.4755,20.467,12.4564,3.8464,5.9235,149.4773,9.5383,1.9606,6.4223,1.7009,-3.116,3.3348,20.411,1405.913,1316.8187,-23.0859,23.4498,15.3018,8.6359,21.4141,67.9498,189.50316666666666,73.85527777777777,239.085375
estacion_virtual_565,Chubut,Patagonia,VIRTUAL,-44.5,-70.0,632.0,,8.35,0.2918,14.15,9.2833,5.8,2.7085,111.4,30.7435,0.1576,89.5306,73.2172,58.7871,11.5414,878.6065,1.1244,0.0947,4.7222,4.31,3.5978,0.4082,51.7198,62.3202,0.3872,91.542,49.9559,29.2218,19.341,599.4705,14.1659,0.6964,14.2863,7.3344,0.1204,5.1074,88.013,17.7265,0.4714,22.093,13.531,4.3665,6.3786,162.3714,9.92,1.829,6.8612,1.9,-3.0588,3.4752,22.8002,1405.913,1316.8187,-23.0859,23.4498,15.3018,8.6359,21.4141,67.9498,186.93577777777776,74.51291666666667,234.99604166666666
estacion_virtual_566,Chubut,Patagonia,VIRTUAL,-44.5,-69.5,1289.0,,7.8,0.3044,12.55,8.1208,4.75,2.4719,97.45,33.7823,0.1822,87.6238,69.757,53.8415,12.7107,837.0842,1.1244,0.0947,4.7222,4.31,3.5978,0.4082,51.7198,44.9055,0.3864,65.705,36.3694,20.7995,14.0536,436.4323,14.6226,0.7042,14.7479,7.5658,0.1253,5.3277,90.7899,18.1067,0.4832,22.3835,13.6552,4.2768,6.5979,163.8622,10.2239,1.6417,7.3639,2.2104,-2.86,3.6286,26.5242,1405.913,1316.8187,-23.0859,23.4498,15.3018,8.6359,21.4141,67.9498,186.93577777777776,74.51291666666667,234.99604166666666
estacion_virtual_567,Chubut,Patagonia,VIRTUAL,-44.5,-69.0,290.0,,5.25,0.3411,8.3,5.2292,3.05,1.7837,62.75,38.0404,0.2142,86.3085,66.3266,48.2681,14.2049,795.9187,1.0992,0.0941,4.6468,4.2363,3.5476,0.3987,50.8352,29.0414,0.3865,40.7836,24.4115,11.7422,9.4353,292.9378,15.6366,0.6848,16.0006,8.3116,0.364,5.6922,99.7395,18.669,0.4656,23.5863,14.6463,4.9173,6.8195,175.7557,10.9913,1.4919,8.212,2.6644,-2.7793,3.975,31.9731,1405.913,1316.8187,-23.0859,23.4498,15.3018,8.6359,21.4141,67.9498,187.1743611111111,74.19616666666667,235.58020833333333
estacion_virtual_568,Chubut,Patagonia,VIRTUAL,-44.5,-68.5,938.0,,5.25,0.3411,8.3,5.2292,3.05,1.7837,62.75,38.0404,0.2142,86.3085,66.3266,48.2681,14.2049,795.9187,1.0992,0.0941,4.6468,4.2363,3.5476,0.3987,50.8352,29.0414,0.3865,40.7836,24.4115,11.7422,9.4353,292.9378,15.6366,0.6848,16.0006,8.3116,0.364,5.6922,99.7395,18.669,0.4656,23.5863,14.6463,4.9173,6.8195,175.7557,10.9913,1.4919,8.212,2.6644,-2.7793,3.975,31.9731,1405.913,1316.8187,-23.0859,23.4498,15.3018,8.6359,21.4141,67.9498,187.1743611111111,74.19616666666667,235.58020833333333
estacion_virtual_569,Chubut,Patagonia,VIRTUAL,-44.5,-68.0,363.0,,3.45,0.3304,5.25,3.6292,1.8,1.1989,43.55,40.3421,0.2425,83.1853,61.785,42.8432,14.9815,741.4196,1.1728,0.0942,4.6525,4.147,3.4797,0.3908,49.764,24.91,0.3994,34.0374,20.8444,9.1274,8.325,250.1328,16.4869,0.6219,17.7299,9.6315,1.243,5.9898,115.5785,19.0012,0.4291,25.2698,16.1533,6.2686,6.932,193.84,12.0344,1.1535,9.8685,3.7857,-2.1659,4.3667,45.4279,1405.913,1316.8187,-23.0859,23.4498,15.3018,8.6359,21.4141,67.9498,187.30416666666667,78.165,223.96212500000001
estacion_virtual_57,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Patagonia,VIRTUAL,-78.5,-67.5,150.0,,3.2,0.1708,7.2,5.2708,4.0,0.9004,63.25,2.4795,0.0077,95.3313,94.3281,92.8518,0.7217,1131.9372,2.2178,0.1253,6.6979,5.3842,4.4801,0.6744,48.4579,11.9224,0.1908,25.6617,18.5179,13.7393,3.5334,222.2149,30.9596,-0.3854,-11.0839,-30.0319,-42.0435,11.5755,-360.3824,29.8084,-0.4077,-9.1408,-27.4547,-38.9492,11.1933,-329.4561,31.6222,-0.3574,-13.4412,-32.7865,-45.0634,11.7179,-393.4385,1405.913,1316.8187,-23.0859,23.4498,24.0,0.0,55.4141,101.9498,129.62911111111111,61.761138888888894,172.02224999999999
estacion_virtual_570,Chubut,Patagonia,VIRTUAL,-44.5,-67.5,242.0,,3.0,0.3012,4.8,3.4167,1.8,1.029,41.0,42.004,0.2613,81.438,59.2827,39.434,15.4909,711.3922,1.1728,0.0942,4.6525,4.147,3.4797,0.3908,49.764,22.964,0.3957,31.5481,19.627,8.5841,7.7671,235.5235,17.1919,0.5776,19.2349,10.7837,2.043,6.2289,129.4041,19.2134,0.405,26.5341,17.2783,7.3207,6.9981,207.3401,13.1932,0.9548,11.6582,4.989,-1.535,4.7633,59.8676,1405.913,1316.8187,-23.0859,23.4498,15.3018,8.6359,21.4141,67.9498,187.30416666666667,78.165,223.96212500000001
estacion_virtual_571,Chubut,Patagonia,VIRTUAL,-44.5,-67.0,321.0,,3.0,0.2617,4.9,3.625,1.9,0.9488,43.5,42.5859,0.264,81.4043,59.2761,38.8184,15.6486,711.3135,1.1489,0.0963,4.5468,4.0954,3.3979,0.3943,49.1446,22.7647,0.393,31.415,19.3572,8.6503,7.608,232.2864,17.2729,0.5713,19.4851,10.941,2.2122,6.2506,131.2921,19.1736,0.4038,26.5724,17.291,7.3988,6.9824,207.4924,13.3684,0.9194,12.0381,5.2432,-1.3303,4.8204,62.918,1405.913,1316.8187,-23.0859,23.4498,15.3018,8.6359,21.4141,67.9498,187.57758333333334,75.26941666666666,220.38450000000003
