estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total,G0_verano_W_m2,G0_invierno_W_m2,declinacion_verano_grados,declinacion_invierno_grados,duracion_dia_verano_horas,duracion_dia_invierno_horas,angulo_cenital_mediodia_verano_grados,angulo_cenital_mediodia_invierno_grados
estacion_virtual_735,Neuquén,Patagonia,VIRTUAL,-38.5000,-68.5000,356.0000,,2.2500,0.2955,3.6000,2.2917,1.3500,0.6772,27.5000,33.4952,0.2426,68.8088,51.5568,35.3136,12.5071,618.6815,2.8296,0.3017,4.7370,3.4069,1.9074,1.0279,40.8828,24.5524,0.4293,35.7053,20.7764,11.1529,8.9192,249.3170,18.3370,0.4664,23.5527,14.2849,5.2157,6.6618,171.4192,19.9513,0.3399,31.3277,21.3868,11.3764,7.2684,256.6418,14.7659,0.6927,15.3396,7.7419,0.5737,5.3631,92.9029,1405.9130,1316.8187,-23.0859,23.4498,14.6425,9.3088,15.4141,61.9498
estacion_virtual_736,Río Negro,Patagonia,VIRTUAL,-38.5000,-67.5000,442.0000,,1.9500,0.2445,3.5500,2.4167,1.6000,0.5910,29.0000,37.8911,0.2849,68.7019,49.3931,30.8108,14.0713,592.7169,2.7416,0.2862,4.7749,3.5088,2.0333,1.0043,42.1056,24.7466,0.4145,35.8225,20.7785,11.0759,8.6126,249.3415,19.2506,0.4609,24.9479,15.1753,5.6973,6.9950,182.1036,20.5793,0.3334,32.7824,22.4940,12.2031,7.4988,269.9279,15.6687,0.6700,16.6108,8.4779,0.9421,5.6805,101.7345,1405.9130,1316.8187,-23.0859,23.4498,14.6425,9.3088,15.4141,61.9498
estacion_virtual_737,Río Negro,Patagonia,VIRTUAL,-38.5000,-67.0000,259.0000,,1.8500,0.2296,3.6500,2.5125,1.8000,0.5769,30.1500,37.5709,0.2866,67.4540,48.4639,29.8831,13.8895,581.5663,2.5289,0.2640,4.6802,3.5208,2.1513,0.9294,42.2490,23.3340,0.3805,34.2378,20.2580,10.9038,7.7072,243.0961,19.4403,0.4500,25.5405,15.6660,6.1002,7.0491,187.9914,20.6916,0.3269,33.3790,23.0235,12.6874,7.5255,276.2823,15.9881,0.6463,17.2510,8.9403,1.2629,5.7782,107.2840,1405.9130,1316.8187,-23.0859,23.4498,14.6425,9.3088,15.4141,61.9498
estacion_virtual_738,La Pampa,Pampeana,VIRTUAL,-38.5000,-66.5000,269.0000,,2.7500,0.1960,5.1000,3.7458,2.3500,0.7344,44.9500,37.4905,0.2836,67.9129,49.0673,30.4224,13.9158,588.8073,2.5289,0.2640,4.6802,3.5208,2.1513,0.9294,42.2490,22.7623,0.3000,34.9708,21.7077,12.2085,6.5126,260.4919,19.5306,0.4459,25.7655,15.8577,6.2349,7.0710,190.2921,20.7166,0.3230,33.6134,23.2499,12.8968,7.5104,278.9983,16.1568,0.6378,17.5100,9.1336,1.3532,5.8255,109.6038,1405.9130,1316.8187,-23.0859,23.4498,14.6425,9.3088,15.4141,61.9498
estacion_virtual_739,La Pampa,Pampeana,VIRTUAL,-38.5000,-66.0000,212.0000,,2.7500,0.1960,5.1000,3.7458,2.3500,0.7344,44.9500,37.4905,0.2836,67.9129,49.0673,30.4224,13.9158,588.8073,2.2874,0.2409,4.6186,3.6013,2.3312,0.8677,43.2156,22.7623,0.3000,34.9708,21.7077,12.2085,6.5126,260.4919,19.5306,0.4459,25.7655,15.8577,6.2349,7.0710,190.2921,20.7166,0.3230,33.6134,23.2499,12.8968,7.5104,278.9983,16.1568,0.6378,17.5100,9.1336,1.3532,5.8255,109.6038,1405.9130,1316.8187,-23.0859,23.4498,14.6425,9.3088,15.4141,61.9498
estacion_virtual_74,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Patagonia,VIRTUAL,-78.0000,-48.0000,542.0000,,2.5000,0.1192,7.1000,5.7167,4.6000,0.6817,68.6000,6.3713,0.0224,97.5602,95.2540,91.1889,2.1339,1143.0476,1.5587,0.0927,7.2600,6.1542,5.7013,0.5708,55.3879,11.5023,0.1559,26.7611,19.7777,15.2588,3.0825,237.3319,26.1156,-0.4110,-7.9322,-23.4611,-34.0478,9.6416,-281.5331,24.4369,-0.4394,-6.1119,-20.7420,-30.5488,9.1149,-248.9040,27.0819,-0.3733,-10.3203,-26.4705,-37.4022,9.8827,-317.6455,1405.9130,1316.8187,-23.0859,23.4498,24.0000,0.0000,54.9141,101.4498
estacion_virtual_740,La Pampa,Pampeana,VIRTUAL,-38.5000,-65.5000,218.0000,,4.0500,0.2453,7.1000,5.3750,3.0500,1.3185,64.5000,35.8761,0.2625,68.5586,50.6389,32.6825,13.2906,607.6673,2.2874,0.2409,4.6186,3.6013,2.3312,0.8677,43.2156,28.3730,0.3138,42.2977,28.4997,13.9247,8.9434,341.9968,19.2242,0.4413,25.4624,15.7173,6.2382,6.9359,188.6071,20.4515,0.3211,33.2686,23.0469,12.8171,7.3999,276.5630,15.8804,0.6271,17.3035,9.0825,1.4231,5.6952,108.9898,1405.9130,1316.8187,-23.0859,23.4498,14.6425,9.3088,15.4141,61.9498
estacion_virtual_741,La Pampa,Pampeana,VIRTUAL,-38.5000,-65.0000,223.0000,,4.7500,0.2908,8.4500,6.2208,3.7000,1.8091,74.6500,34.6588,0.2474,69.1451,52.1922,34.4863,12.9099,626.3062,1.9852,0.2091,4.5401,3.6995,2.5549,0.7734,44.3942,35.4003,0.3688,51.1156,35.5584,15.7153,13.1132,426.7008,18.9993,0.4394,25.2405,15.5624,6.2412,6.8379,186.7485,20.3697,0.3233,33.0234,22.7677,12.6537,7.3602,273.2124,15.5172,0.6120,17.1206,9.0622,1.6034,5.5460,108.7465,1405.9130,1316.8187,-23.0859,23.4498,14.6425,9.3088,15.4141,61.9498
estacion_virtual_742,La Pampa,Pampeana,VIRTUAL,-38.5000,-64.5000,206.0000,,5.7000,0.2950,9.3500,6.4417,3.6500,1.9000,77.3000,33.5514,0.2290,70.2723,54.2255,36.7209,12.4155,650.7061,1.9852,0.2091,4.5401,3.6995,2.5549,0.7734,44.3942,50.7389,0.3822,67.3120,43.7284,16.5731,16.7131,524.7410,18.9817,0.4315,25.4810,15.7873,6.4993,6.8118,189.4478,20.4542,0.3194,33.4193,23.0735,12.9651,7.3696,276.8823,15.3929,0.5946,17.2450,9.2466,1.8521,5.4983,110.9587,1405.9130,1316.8187,-23.0859,23.4498,14.6425,9.3088,15.4141,61.9498
estacion_virtual_743,La Pampa,Pampeana,VIRTUAL,-38.5000,-64.0000,84.0000,,5.8500,0.2876,9.5500,6.4167,3.7000,1.8452,77.0000,33.4470,0.2169,72.5832,56.8417,39.1362,12.3302,682.1004,1.9377,0.1937,4.7199,3.8494,2.7822,0.7455,46.1923,56.8880,0.3774,75.5283,48.3248,18.6403,18.2389,579.8972,18.9637,0.4285,25.5601,15.8695,6.5964,6.8008,190.4346,20.4877,0.3188,33.5093,23.1364,13.0216,7.3767,277.6362,15.4013,0.5867,17.3809,9.3752,1.9796,5.5007,112.5028,1405.9130,1316.8187,-23.0859,23.4498,14.6425,9.3088,15.4141,61.9498
