estacion,mes,frecuencia_dias_precipitacion_gt_1mm,humedad_relativa_porcentaje,nubosidad_octavos,precipitacion_mm,temperatura,temperatura_maxima_c,temperatura_minima_c,provincia,region,latitud,longitud,altura,oaci,nro
bariloche_aero,2,2.5,53.3,2.7,17.5,15.0,23.1,6.6,RIO NEGRO,Patagonia,-41.13333333333333,-71.15,835.0,SAZS,87765.0
bariloche_aero,3,4.1,60.2,3.3,29.4,12.1,20.1,4.9,RIO NEGRO,Patagonia,-41.13333333333333,-71.15,835.0,SAZS,87765.0
bariloche_aero,4,6.2,68.2,4.0,57.1,8.1,15.0,2.4,RIO NEGRO,Patagonia,-41.13333333333333,-71.15,835.0,SAZS,87765.0
bariloche_aero,5,10.2,76.0,4.9,113.7,5.2,10.6,1.0,RIO NEGRO,Patagonia,-41.13333333333333,-71.15,835.0,SAZS,87765.0
bariloche_aero,6,13.3,79.1,5.4,168.3,3.0,7.2,-0.5,RIO NEGRO,Patagonia,-41.13333333333333,-71.15,835.0,SAZS,87765.0
bariloche_aero,7,11.6,78.0,5.0,126.4,2.1,6.7,-1.6,RIO NEGRO,Patagonia,-41.13333333333333,-71.15,835.0,SAZS,87765.0
bariloche_aero,8,11.4,74.9,4.9,117.3,3.1,8.4,-1.0,RIO NEGRO,Patagonia,-41.13333333333333,-71.15,835.0,SAZS,87765.0
bariloche_aero,9,6.5,66.9,4.1,55.4,5.2,11.6,-0.1,RIO NEGRO,Patagonia,-41.13333333333333,-71.15,835.0,SAZS,87765.0
bariloche_aero,10,6.0,61.5,4.0,48.7,7.9,14.7,1.7,RIO NEGRO,Patagonia,-41.13333333333333,-71.15,835.0,SAZS,87765.0
bariloche_aero,11,4.0,56.6,3.7,30.1,10.9,17.9,3.9,RIO NEGRO,Patagonia,-41.13333333333333,-71.15,835.0,SAZS,87765.0
bariloche_aero,12,3.5,53.6,3.3,25.0,13.5,20.7,5.9,RIO NEGRO,Patagonia,-41.13333333333333,-71.15,835.0,SAZS,87765.0
base_belgrano_ii,1,,,5.4,,-2.6,0.7,-6.1,ANTARTIDA,Antártida,-77.86666666666666,-34.61666666666667,256.0,SAYB,89034.0
base_belgrano_ii,2,,,5.0,,-7.1,-3.5,-11.1,ANTARTIDA,Antártida,-77.86666666666666,-34.61666666666667,256.0,SAYB,89034.0
base_belgrano_ii,3,,,4.8,,-12.3,-9.1,-16.5,ANTARTIDA,Antártida,-77.86666666666666,-34.61666666666667,256.0,SAYB,89034.0
base_belgrano_ii,4,,,4.4,,-16.4,-13.2,-20.5,ANTARTIDA,Antártida,-77.86666666666666,-34.61666666666667,256.0,SAYB,89034.0
base_belgrano_ii,5,,,4.0,,-17.5,-14.1,-21.6,ANTARTIDA,Antártida,-77.86666666666666,-34.61666666666667,256.0,SAYB,89034.0
base_belgrano_ii,6,,,3.9,,-18.9,-15.7,-23.0,ANTARTIDA,Antártida,-77.86666666666666,-34.61666666666667,256.0,SAYB,89034.0
base_belgrano_ii,7,,,4.1,,-20.9,-17.5,-25.0,ANTARTIDA,Antártida,-77.86666666666666,-34.61666666666667,256.0,SAYB,89034.0
base_belgrano_ii,8,,,4.3,,-20.7,-17.1,-24.9,ANTARTIDA,Antártida,-77.86666666666666,-34.61666666666667,256.0,SAYB,89034.0
base_belgrano_ii,9,,,4.7,,-18.4,-14.9,-22.8,ANTARTIDA,Antártida,-77.86666666666666,-34.61666666666667,256.0,SAYB,89034.0
base_belgrano_ii,10,,,4.8,,-14.1,-10.2,-18.8,ANTARTIDA,Antártida,-77.86666666666666,-34.61666666666667,256.0,SAYB,89034.0
base_belgrano_ii,11,,,5.0,,-7.0,-3.2,-11.5,ANTARTIDA,Antártida,-77.86666666666666,-34.61666666666667,256.0,SAYB,89034.0
base_belgrano_ii,12,,,4.9,,-2.7,0.8,-6.8,ANTARTIDA,Antártida,-77.86666666666666,-34.61666666666667,256.0,SAYB,89034.0
base_carlini_ex_jubany,1,,84.9,7.1,,2.2,4.3,0.4,ANTARTIDA,Antártida,-62.23333333333333,-58.65,11.0,SAYJ,89053.0
base_carlini_ex_jubany,2,,85.4,7.0,,2.0,3.9,0.2,ANTARTIDA,Antártida,-62.23333333333333,-58.65,11.0,SAYJ,89053.0
base_carlini_ex_jubany,3,,86.8,6.9,,0.9,2.9,-1.2,ANTARTIDA,Antártida,-62.23333333333333,-58.65,11.0,SAYJ,89053.0
base_carlini_ex_jubany,4,,86.89999999999999,6.8,,-1.2,0.9,-3.4,ANTARTIDA,Antártida,-62.23333333333333,-58.65,11.0,SAYJ,89053.0
